detector,root,thirds,triads,majmin,mirex,underseg,overseg,seg,duration,n_onsets,n_segments,n_truncated,mean_window_frames
spectral-flux,0.5164413544931548,0.47906601279291294,0.4473366558505346,0.41464623970054343,0.4473366558505346,0.5467271416891054,0.9821126462435517,0.5467271416891054,1138.7093333333335,620.0,620.0,377.0,159.50523992382753
superflux,0.5711944301152485,0.5378868578670867,0.5092754198565886,0.4643387852853694,0.5092754198565886,0.5867907815881575,0.9902073330328143,0.5867907815881575,1138.7093333333335,628.0,628.0,387.0,158.38413180972145
annotated,0.570533216524532,0.5398196732234455,0.5130966686259065,0.4672562167021354,0.5130966686259065,0.5785354851935901,0.9937278187074581,0.5785354851935901,1138.7093333333335,620.0,620.0,377.0,159.95920902261273
