root,thirds,triads,majmin,mirex,underseg,overseg,seg,duration,n_onsets,n_segments,n_truncated,mean_window_frames,detector,dataset
0.7618254118255642,0.6804293136736393,0.6322453553257376,0.5707126937299098,0.6322453553257376,0.6387201066888271,0.9690734595524617,0.6387201066888271,119.22133333333333,98.0,98.0,96.0,112.86440408378316,spectral-flux,normal_sustain
0.5698427526459946,0.5332399064607817,0.5082847032886837,0.4736960815135522,0.5082847032886837,0.5835505211951987,0.9836953422289332,0.5835505211951987,408.69333333333327,199.0,199.0,96.0,169.38892455812203,spectral-flux,broken_sustain
0.43281290667382644,0.4035131094743378,0.3704628307723497,0.3446722701264514,0.3704628307723497,0.5041318227065719,0.9835987625679277,0.5041318227065719,610.7946666666667,323.0,323.0,185.0,161.99574401766256,spectral-flux,normal_no-sustain
0.5881603570484617,0.539060776536253,0.503664296462257,0.4630270151233045,0.503664296462257,0.5754674835301992,0.9787891881164409,0.5754674835301992,,,,,,spectral-flux,mean
0.16526935018278352,0.138549839167586,0.13095240990458154,0.11339726632038961,0.13095240990458154,0.06765724772515058,0.008414206323499566,0.06765724772515058,,,,,,spectral-flux,std
0.8123268759418603,0.7468688956408557,0.7274984173711795,0.7023984308730544,0.7274984173711795,0.6604944574055757,0.9868134040810314,0.6604944574055757,119.22133333333333,99.0,99.0,98.0,111.98314495044386,superflux,normal_sustain
0.6546264544684899,0.6193320781299088,0.5947529848007569,0.5210679390150659,0.5947529848007569,0.6485360757394085,0.9964494838434416,0.6485360757394085,408.69333333333327,202.0,202.0,99.0,168.42214039125432,superflux,broken_sustain
0.46830184235899686,0.44259913039393817,0.40948583262497984,0.3799133341330018,0.40948583262497984,0.5310896721260979,0.9866930641561574,0.5310896721260979,610.7946666666667,327.0,327.0,190.0,160.7245588175926,superflux,normal_no-sustain
0.6450850575897823,0.6029333680549009,0.5772457449323053,0.534459901340374,0.5772457449323053,0.6133734017570274,0.9899853173602101,0.6133734017570274,,,,,,superflux,mean
0.17221087254793274,0.1527963048635231,0.159727513597684,0.16165911015483206,0.159727513597684,0.07151020797410922,0.0055984557394498785,0.07151020797410922,,,,,,superflux,std
0.8743727857776671,0.828928444732451,0.7998501630700061,0.7545326286299073,0.7998501630700061,0.6815651010073952,0.9916966578698426,0.6815651010073952,119.22133333333333,100.0,100.0,100.0,111.00697861680236,annotated,normal_sustain
0.677983941165798,0.6440999872531022,0.6277470878106801,0.5546583387058311,0.6277470878106801,0.6557398186523159,0.9983648084513694,0.6557398186523159,408.69333333333327,200.0,200.0,97.0,169.11110792117972,annotated,broken_sustain
0.43932946219928354,0.4136126079584802,0.38041051343631677,0.3527003024712615,0.38041051343631677,0.5067663179898259,0.9910215915872751,0.5067663179898259,610.7946666666667,320.0,320.0,180.0,163.39052600328316,annotated,normal_no-sustain
0.6638953963809162,0.6288803466480112,0.6026692547723344,0.5539637566023333,0.6026692547723344,0.6146904125498457,0.9936943526361625,0.6146904125498457,,,,,,annotated,mean
0.21786357811288293,0.20807580148572535,0.21084135790596772,0.2009170635355319,0.21084135790596772,0.09435276329885608,0.0040587925252242064,0.09435276329885608,,,,,,annotated,std
