variant,seed,epoch,loss,accuracy,val_loss,val_accuracy,lr
orig,46,1,1.9110608100891113,0.4600694477558136,0.1658022552728653,0.9486111402511597,0.001
orig,46,2,0.05204552039504051,0.980555534362793,0.0005389407742768526,1.0,0.001
orig,46,3,0.03163587301969528,0.9899305701255798,4.1357910163242195e-07,1.0,0.001
orig,46,4,0.013703659176826477,0.9956597089767456,2.9802318390892424e-09,1.0,0.001
orig,46,5,0.00742260692641139,0.9972222447395325,1.0480391665623756e-07,1.0,0.001
orig,46,6,0.005619650240987539,0.9977430701255798,7.450571715139631e-09,1.0,0.000100000005
orig,46,7,0.0037230283487588167,0.9986110925674438,5.7948921217132465e-09,1.0,0.000100000005
orig,46,8,0.0025001310277730227,0.9989583492279053,2.9802309509108227e-09,1.0,1.0000001e-05
orig,46,9,0.002658997429534793,0.9987847208976746,1.9868209300000217e-09,1.0,1.0000001e-05
orig,46,10,0.001757972757332027,0.9994791746139526,1.9868209300000217e-09,1.0,1.0000001e-06
orig,46,11,0.0031073910649865866,0.9989583492279053,2.152389377840791e-09,1.0,1.0000001e-06
orig,46,12,0.002792160492390394,0.9989583492279053,1.9868209300000217e-09,1.0,1.0000001e-07
orig,46,13,0.002606624271720648,0.9993055462837219,1.9868209300000217e-09,1.0,1.0000001e-07
orig,46,14,0.004060882143676281,0.9991319179534912,1.6556841453407856e-09,1.0,1.0000001e-08
orig,46,15,0.0018389271572232246,0.9993055462837219,1.4901158085223187e-09,1.0,1.0000001e-08
orig,46,16,0.0033702661748975515,0.9989583492279053,1.4901158085223187e-09,1.0,1.0000001e-09
orig,46,17,0.0025662772823125124,0.9993055462837219,1.9868209300000217e-09,1.0,1.0000001e-09
orig,46,18,0.0021820024121552706,0.9991319179534912,2.152389377840791e-09,1.0,1.0000001e-10
orig,46,19,0.002959409262984991,0.9987847208976746,1.9868209300000217e-09,1.0,1.0000001e-10
orig,46,20,0.0037876255810260773,0.9980902671813965,2.152389377840791e-09,1.0,1.0000001e-11
orig,46,21,0.002817707834765315,0.9989583492279053,1.9868209300000217e-09,1.0,1.0000001e-11
