variant,seed,fold,epoch,loss,accuracy,val_loss,val_accuracy,lr
clean,45,3,1,2.0886752605438232,0.41474103927612305,0.7129621505737305,0.7841225862503052,0.001
clean,45,3,2,0.0604713037610054,0.9792828559875488,4.450996493687853e-05,1.0,0.001
clean,45,3,3,0.026379577815532684,0.9914342761039734,1.4567654034181032e-05,1.0,0.001
clean,45,3,4,0.028245635330677032,0.9918326735496521,2.4513061362085864e-05,1.0,0.001
clean,45,3,5,0.008268418721854687,0.9972111582756042,5.588380531662551e-07,1.0,0.000100000005
clean,45,3,6,0.004856768995523453,0.998207151889801,3.1495173402618093e-07,1.0,0.000100000005
clean,45,3,7,0.003379181958734989,0.9992032051086426,2.721173473219096e-07,1.0,1.0000001e-05
clean,45,3,8,0.0046450491063296795,0.9986055493354797,2.4488920757903543e-07,1.0,1.0000001e-05
clean,45,3,9,0.004891323857009411,0.9984063506126404,2.2895116558174777e-07,1.0,1.0000001e-06
clean,45,3,10,0.004601666238158941,0.9990040063858032,2.2098197405284736e-07,1.0,1.0000001e-06
clean,45,3,11,0.005858644377440214,0.998207151889801,2.3044523800308525e-07,1.0,1.0000001e-07
clean,45,3,12,0.006680984050035477,0.998207151889801,2.3824846095976682e-07,1.0,1.0000001e-07
clean,45,3,13,0.0051051536574959755,0.9988048076629639,2.400744847363967e-07,1.0,1.0000001e-08
clean,45,3,14,0.004246033262461424,0.9990040063858032,2.2596228177462763e-07,1.0,1.0000001e-08
clean,45,3,15,0.0036955669056624174,0.9988048076629639,2.397426328570873e-07,1.0,1.0000001e-09
clean,45,3,16,0.003609010949730873,0.9992032051086426,2.3941046833897417e-07,1.0,1.0000001e-09
