variant,seed,fold,epoch,loss,accuracy,val_loss,val_accuracy,lr
clean,44,2,1,2.295757293701172,0.35159361362457275,0.12594187259674072,0.9693593382835388,0.001
clean,44,2,2,0.07483991235494614,0.9752988219261169,1.368292396364268e-05,1.0,0.001
clean,44,2,3,0.03480816259980202,0.9872509837150574,5.040606083639432e-07,1.0,0.001
clean,44,2,4,0.022326717153191566,0.9950199127197266,5.4789772718777385e-09,1.0,0.001
clean,44,2,5,0.01437411643564701,0.9956175088882446,2.3244142166589654e-09,1.0,0.000100000005
clean,44,2,6,0.007893008179962635,0.9974103569984436,6.641173833088487e-09,1.0,0.000100000005
clean,44,2,7,0.006501348223537207,0.997609555721283,7.139260294053429e-09,1.0,1.0000001e-05
clean,44,2,8,0.0072040073573589325,0.9970119595527649,5.312941198098997e-09,1.0,1.0000001e-05
clean,44,2,9,0.0064541311003267765,0.9974103569984436,5.644998690712555e-09,1.0,1.0000001e-06
clean,44,2,10,0.007698276545852423,0.9974103569984436,6.143086483945126e-09,1.0,1.0000001e-06
clean,44,2,11,0.00404008524492383,0.9990040063858032,5.478970166450381e-09,1.0,1.0000001e-07
