variant,seed,epoch,loss,accuracy,val_loss,val_accuracy,lr
orig,42,1,2.298015832901001,0.3513889014720917,0.13124115765094757,0.9555555582046509,0.001
orig,42,2,0.0831146165728569,0.9732638597488403,4.5702621719101444e-05,1.0,0.001
orig,42,3,0.026265012100338936,0.9906250238418579,1.3863986168871634e-05,1.0,0.001
orig,42,4,0.0241838525980711,0.9921875,1.5323763591368333e-06,1.0,0.001
orig,42,5,0.011510808020830154,0.9963541626930237,4.304775202967903e-08,1.0,0.000100000005
orig,42,6,0.006088042166084051,0.9975694417953491,1.6887964804368494e-08,1.0,0.000100000005
orig,42,7,0.007966596633195877,0.9973958134651184,1.7053533696298473e-08,1.0,1.0000001e-05
orig,42,8,0.0060447389259934425,0.9982638955116272,1.4570007422776143e-08,1.0,1.0000001e-05
orig,42,9,0.0069326236844062805,0.9975694417953491,1.4073305187878304e-08,1.0,1.0000001e-06
orig,42,10,0.007011434994637966,0.9972222447395325,1.3245462504585248e-08,1.0,1.0000001e-06
orig,42,11,0.006850509438663721,0.9975694417953491,1.4570006534597724e-08,1.0,1.0000001e-07
orig,42,12,0.00585545226931572,0.9980902671813965,1.4901145206636102e-08,1.0,1.0000001e-07
orig,42,13,0.006739564705640078,0.9975694417953491,1.3742166515839926e-08,1.0,1.0000001e-08
orig,42,14,0.004775405861437321,0.9986110925674438,1.4404440307203004e-08,1.0,1.0000001e-08
orig,42,15,0.0062818280421197414,0.9973958134651184,1.3411029620158388e-08,1.0,1.0000001e-09
orig,42,16,0.006271583493798971,0.9977430701255798,1.4073303411521465e-08,1.0,1.0000001e-09
