variant,seed,epoch,loss,accuracy,val_loss,val_accuracy,lr
clean,45,1,1.8234633207321167,0.48134589195251465,0.11146850138902664,0.9582172632217407,0.001
clean,45,2,0.0401567742228508,0.9881450533866882,7.049268333503278e-06,1.0,0.001
clean,45,3,0.045305173844099045,0.9853556752204895,5.5287799227699e-08,1.0,0.001
clean,45,4,0.012710757553577423,0.9959902167320251,9.679503421011759e-08,1.0,0.001
clean,45,5,0.006648487877100706,0.9984309673309326,1.4444565543669796e-08,1.0,0.000100000005
clean,45,6,0.004623737186193466,0.9984309673309326,5.146916670639712e-09,1.0,0.000100000005
clean,45,7,0.004306487273424864,0.9987796545028687,4.316768720258324e-09,1.0,1.0000001e-05
clean,45,8,0.0036916695535182953,0.9987796545028687,3.6526504043621344e-09,1.0,1.0000001e-05
clean,45,9,0.003390907309949398,0.9991283416748047,3.6526504043621344e-09,1.0,1.0000001e-06
clean,45,10,0.0030787151772528887,0.999651312828064,3.6526504043621344e-09,1.0,1.0000001e-06
clean,45,11,0.003157051745802164,0.9991283416748047,3.6526504043621344e-09,1.0,1.0000001e-07
clean,45,12,0.004272157792001963,0.9987796545028687,3.818679594758123e-09,1.0,1.0000001e-07
clean,45,13,0.004422598052769899,0.9982566237449646,3.984709451287927e-09,1.0,1.0000001e-08
clean,45,14,0.0035792484413832426,0.9989539980888367,3.1545617229511436e-09,1.0,1.0000001e-08
clean,45,15,0.004223946016281843,0.9989539980888367,3.1545617229511436e-09,1.0,1.0000001e-09
clean,45,16,0.0031469909008592367,0.9991283416748047,3.818680038847333e-09,1.0,1.0000001e-09
clean,45,17,0.002295916434377432,0.9991283416748047,3.3205911353917372e-09,1.0,1.0000001e-10
clean,45,18,0.005078011192381382,0.9987796545028687,3.818679594758123e-09,1.0,1.0000001e-10
clean,45,19,0.0032049205619841814,0.9993026256561279,3.984709451287927e-09,1.0,1.0000001e-11
clean,45,20,0.005369098857045174,0.9982566237449646,3.486620769876936e-09,1.0,1.0000001e-11
