variant,seed,epoch,loss,accuracy,val_loss,val_accuracy,lr
clean,42,1,2.4154016971588135,0.3117154836654663,0.4650821089744568,0.8495821952819824,0.001
clean,42,2,0.12656427919864655,0.9572873115539551,0.0017254744889214635,1.0,0.001
clean,42,3,0.057841707020998,0.9809972047805786,0.0018322254763916135,1.0,0.001
clean,42,4,0.041132763028144836,0.9870990514755249,8.171232911990955e-05,1.0,0.001
clean,42,5,0.023373767733573914,0.991631805896759,5.15455067215953e-05,1.0,0.001
clean,42,6,0.0225384421646595,0.9930264949798584,4.799724592885468e-06,1.0,0.001
clean,42,7,0.015300262719392776,0.9940724968910217,8.225364581448957e-06,1.0,0.000100000005
clean,42,8,0.012292508035898209,0.9963389039039612,9.537001460557804e-06,1.0,0.000100000005
clean,42,9,0.010694069787859917,0.9956415891647339,8.463915037282277e-06,1.0,1.0000001e-05
clean,42,10,0.008714217692613602,0.9970362782478333,7.71020586398663e-06,1.0,1.0000001e-05
clean,42,11,0.009133195504546165,0.9965132474899292,7.836846634745598e-06,1.0,1.0000001e-06
clean,42,12,0.012816808186471462,0.9949442148208618,7.875474693719298e-06,1.0,1.0000001e-06
