variant,seed,fold,epoch,loss,accuracy,val_loss,val_accuracy,lr
clean,43,1,1,2.1750195026397705,0.38712891936302185,0.36955398321151733,0.8997214436531067,0.001
clean,43,1,2,0.05496140569448471,0.9808726906776428,5.587059149547713e-06,1.0,0.001
clean,43,1,3,0.030607588589191437,0.990436315536499,4.912130407319637e-06,1.0,0.001
clean,43,1,4,0.0305626280605793,0.9896393418312073,4.891181106358999e-06,1.0,0.001
clean,43,1,5,0.012796961702406406,0.9958158731460571,6.441937472345671e-08,1.0,0.000100000005
clean,43,1,6,0.005691301077604294,0.9986053109169006,1.7765165338801125e-08,1.0,0.000100000005
clean,43,1,7,0.005090260412544012,0.998007595539093,1.4610604281983797e-08,1.0,1.0000001e-05
clean,43,1,8,0.0050890096463263035,0.9984060525894165,1.0957952767398638e-08,1.0,1.0000001e-05
clean,43,1,9,0.004762886092066765,0.9984060525894165,1.0791923799047254e-08,1.0,1.0000001e-06
clean,43,1,10,0.005139475222676992,0.9988045692443848,1.0791924687225674e-08,1.0,1.0000001e-06
clean,43,1,11,0.004569033160805702,0.9990037679672241,1.062589483069587e-08,1.0,1.0000001e-07
clean,43,1,12,0.005215699318796396,0.9984060525894165,9.629717467873888e-09,1.0,1.0000001e-07
clean,43,1,13,0.004170078318566084,0.9990037679672241,1.062589483069587e-08,1.0,1.0000001e-08
clean,43,1,14,0.00577083183452487,0.9986053109169006,1.012780614928488e-08,1.0,1.0000001e-08
clean,43,1,15,0.005187271628528833,0.9982067942619324,1.0293836005814683e-08,1.0,1.0000001e-09
clean,43,1,16,0.0030818914528936148,0.9992030262947083,1.0791924687225674e-08,1.0,1.0000001e-09
clean,43,1,17,0.007774081081151962,0.9972106218338013,9.463688499522505e-09,1.0,1.0000001e-10
clean,43,1,18,0.003953866194933653,0.9992030262947083,1.062589483069587e-08,1.0,1.0000001e-10
clean,43,1,19,0.004958131816238165,0.9988045692443848,1.0957954543755477e-08,1.0,1.0000001e-11
clean,43,1,20,0.006424106191843748,0.9976090788841248,1.0791924687225674e-08,1.0,1.0000001e-11
clean,43,1,21,0.004272443242371082,0.9988045692443848,1.0293836005814683e-08,1.0,1.0000001e-12
clean,43,1,22,0.005384443327784538,0.9982067942619324,1.0791924687225674e-08,1.0,1.0000001e-12
clean,43,1,23,0.005819833837449551,0.9986053109169006,1.012780614928488e-08,1.0,1.0000001e-13
