variant,seed,epoch,loss,accuracy,val_loss,val_accuracy,lr
orig,44,1,2.1232361793518066,0.41631942987442017,0.04624227061867714,0.9930555820465088,0.001
orig,44,2,0.060193512588739395,0.9789930582046509,3.011227590832277e-06,1.0,0.001
orig,44,3,0.029753729701042175,0.9902777671813965,2.333026259293547e-06,1.0,0.001
orig,44,4,0.02045828104019165,0.9934027791023254,2.379129568907956e-07,1.0,0.001
orig,44,5,0.010435759089887142,0.9956597089767456,1.688791861909067e-08,1.0,0.000100000005
orig,44,6,0.008254061453044415,0.9970486164093018,6.6227268114005255e-09,1.0,0.000100000005
orig,44,7,0.006165226921439171,0.9986110925674438,5.629318788891169e-09,1.0,1.0000001e-05
orig,44,8,0.007747896481305361,0.9977430701255798,5.29818322547726e-09,1.0,1.0000001e-05
orig,44,9,0.00985711719840765,0.9970486164093018,5.13261566581491e-09,1.0,1.0000001e-06
orig,44,10,0.007094745524227619,0.9970486164093018,5.29818322547726e-09,1.0,1.0000001e-06
orig,44,11,0.00616000359877944,0.9975694417953491,5.13261566581491e-09,1.0,1.0000001e-07
orig,44,12,0.004846692085266113,0.9979166388511658,4.967047217974141e-09,1.0,1.0000001e-07
orig,44,13,0.007087579928338528,0.9979166388511658,5.13261566581491e-09,1.0,1.0000001e-08
orig,44,14,0.005203870590776205,0.9986110925674438,4.801479658311791e-09,1.0,1.0000001e-08
orig,44,15,0.005794929806143045,0.9982638955116272,4.967047217974141e-09,1.0,1.0000001e-09
orig,44,16,0.005527749191969633,0.9977430701255798,4.967047217974141e-09,1.0,1.0000001e-09
orig,44,17,0.005601526703685522,0.9989583492279053,5.13261566581491e-09,1.0,1.0000001e-10
orig,44,18,0.005813187453895807,0.9975694417953491,4.801478770133372e-09,1.0,1.0000001e-10
orig,44,19,0.0038402541540563107,0.9984375238418579,4.967047217974141e-09,1.0,1.0000001e-11
orig,44,20,0.006774083711206913,0.996874988079071,4.967047217974141e-09,1.0,1.0000001e-11
orig,44,21,0.007570362649857998,0.9975694417953491,4.801479658311791e-09,1.0,1.0000001e-12
orig,44,22,0.007777310907840729,0.9970486164093018,5.29818322547726e-09,1.0,1.0000001e-12
orig,44,23,0.007153923157602549,0.9970486164093018,5.29818322547726e-09,1.0,1.0000001e-13
orig,44,24,0.004575225058943033,0.9989583492279053,5.29818322547726e-09,1.0,1.0000001e-13
