variant,seed,dataset,accuracy,macro_precision,macro_recall,macro_f1
orig,42,thinkpad,0.8597222222222223,0.9340440776749634,0.859722222222222,0.870782129827388
orig,42,vivo,0.975,0.9824172031798964,0.975,0.9737750289251834
orig,42,flow,0.99375,0.994298088975722,0.99375,0.9938271057559162
orig,42,thinkpad-2,0.5569444444444445,0.6782759173303466,0.5569444444444445,0.556990500595837
orig,42,flow-2,0.7743055555555556,0.8194649930728919,0.7743055555555556,0.7620175577504936
orig,43,thinkpad,0.8805555555555555,0.9695837521378268,0.8805555555555555,0.8969853148872341
orig,43,vivo,0.9777777777777776,0.9836140403844356,0.9777777777777776,0.9767830480760924
orig,43,flow,0.9951388888888888,0.995590828924162,0.9951388888888888,0.9951997854536764
orig,43,thinkpad-2,0.5777777777777777,0.7666859675663837,0.5777777777777778,0.5826824590303753
orig,43,flow-2,0.8020833333333334,0.8274348485730599,0.8020833333333334,0.7886351273859252
orig,44,thinkpad,0.8055555555555556,0.9220953873127784,0.8055555555555557,0.8158111231896842
orig,44,vivo,0.9743055555555556,0.9820811139145876,0.9743055555555554,0.9729723331409368
orig,44,flow,0.99375,0.9945401328380052,0.99375,0.9939049109850016
orig,44,thinkpad-2,0.5319444444444444,0.656366586850256,0.5319444444444444,0.5305102441273369
orig,44,flow-2,0.7451388888888889,0.8478878724920659,0.7451388888888889,0.7337397884636562
orig,45,thinkpad,0.7701388888888889,0.9283326707745312,0.7701388888888889,0.7895121711417921
orig,45,vivo,0.975,0.9824690963767247,0.975,0.9726153674292122
orig,45,flow,0.9902777777777778,0.9920707301008258,0.9902777777777776,0.9906701559896618
orig,45,thinkpad-2,0.4625,0.623434056205491,0.4624999999999999,0.4546167260403918
orig,45,flow-2,0.7118055555555556,0.7947301766589306,0.7118055555555557,0.7011455698583196
orig,46,thinkpad,0.8097222222222222,0.932923918390634,0.8097222222222222,0.8260706201097627
orig,46,vivo,0.9756944444444444,0.9815111398164214,0.9756944444444444,0.974283463265012
orig,46,flow,0.9902777777777778,0.992234730039608,0.9902777777777776,0.9906954671880576
orig,46,thinkpad-2,0.4743055555555555,0.6325730205262015,0.4743055555555555,0.4752501443596965
orig,46,flow-2,0.7541666666666667,0.8638261282712547,0.7541666666666668,0.7522885843804497
clean,42,thinkpad,0.7888888888888889,0.9006025935459575,0.788888888888889,0.7988909175291508
clean,42,vivo,0.9701388888888888,0.9805805276455724,0.970138888888889,0.9678097329220434
clean,42,flow,0.9930555555555556,0.993620582200654,0.9930555555555556,0.9931235369557698
clean,42,thinkpad-2,0.4270833333333333,0.676960267114062,0.4270833333333333,0.4166182228386998
clean,42,flow-2,0.6979166666666666,0.7500346010767764,0.6979166666666666,0.6708025671888741
clean,43,thinkpad,0.6743055555555556,0.8244563336779075,0.6743055555555555,0.6867763548614341
clean,43,vivo,0.9722222222222222,0.9804959397846734,0.9722222222222222,0.9705268283544524
clean,43,flow,0.9722222222222222,0.9790720808692566,0.9722222222222222,0.9727459860978384
clean,43,thinkpad-2,0.36875,0.4581728399049376,0.36875,0.3505373869762873
clean,43,flow-2,0.6416666666666667,0.7214148508715079,0.6416666666666666,0.6172996203358885
clean,44,thinkpad,0.76875,0.8832022283512437,0.76875,0.7725195392308718
clean,44,vivo,0.9784722222222222,0.9838568165160682,0.9784722222222224,0.9771392609939408
clean,44,flow,0.9833333333333332,0.9859345487394268,0.9833333333333332,0.9833168751461012
clean,44,thinkpad-2,0.5027777777777778,0.6736788541535991,0.5027777777777778,0.5018935411775356
clean,44,flow-2,0.7555555555555555,0.7403824186513751,0.7555555555555555,0.7154359465669947
clean,45,thinkpad,0.6618055555555555,0.8598010176957546,0.6618055555555555,0.6722548046180952
clean,45,vivo,0.96875,0.9777659378737876,0.96875,0.9662693955285468
clean,45,flow,0.9784722222222222,0.9837149572060694,0.9784722222222224,0.9793547992403075
clean,45,thinkpad-2,0.3993055555555556,0.5212557334128987,0.3993055555555556,0.394431035026992
clean,45,flow-2,0.6458333333333334,0.7730658069438026,0.6458333333333334,0.6322002411601987
clean,46,thinkpad,0.6798611111111111,0.8352958386037632,0.6798611111111111,0.69252041060775
clean,46,vivo,0.9722222222222222,0.97989417989418,0.9722222222222222,0.9700681976766896
clean,46,flow,0.9798611111111112,0.9843755244705726,0.9798611111111112,0.9804715639378914
clean,46,thinkpad-2,0.3944444444444444,0.5172893103366707,0.3944444444444444,0.3840738064565085
clean,46,flow-2,0.6611111111111111,0.7610204786383549,0.661111111111111,0.6509474436135012
clean-fixed,42,thinkpad,0.7701388888888889,0.8791368653693412,0.7701388888888889,0.7727173154446665
clean-fixed,42,vivo,0.9659722222222222,0.9774414887857882,0.9659722222222222,0.962906599809854
clean-fixed,42,flow,0.9777777777777776,0.9835209720178888,0.9777777777777776,0.97731898312805
clean-fixed,42,thinkpad-2,0.4618055555555556,0.6161964997830469,0.4618055555555556,0.4550126487209044
clean-fixed,42,flow-2,0.7243055555555555,0.7989235611659693,0.7243055555555555,0.701646043611592
clean-fixed,43,thinkpad,0.7951388888888888,0.9184623728381583,0.7951388888888888,0.8013165162123357
clean-fixed,43,vivo,0.9645833333333332,0.9760340217329464,0.9645833333333332,0.9612355491979384
clean-fixed,43,flow,0.9895833333333334,0.9906749005699248,0.9895833333333334,0.9896278531757392
clean-fixed,43,thinkpad-2,0.4868055555555555,0.6626392261919067,0.4868055555555555,0.4676427469730796
clean-fixed,43,flow-2,0.7597222222222222,0.8098969901984441,0.7597222222222222,0.7354961080087479
clean-fixed,44,thinkpad,0.675,0.7967329186063034,0.675,0.6720976959179583
clean-fixed,44,vivo,0.9625,0.9750265691776644,0.9625,0.9580288408592376
clean-fixed,44,flow,0.9729166666666668,0.9797561921282224,0.9729166666666668,0.973298819759204
clean-fixed,44,thinkpad-2,0.4090277777777777,0.4841659055378985,0.4090277777777778,0.3939409591566593
clean-fixed,44,flow-2,0.6694444444444444,0.7599368897077459,0.6694444444444446,0.6509632990658187
clean-fixed,45,thinkpad,0.6555555555555556,0.8257261586116484,0.6555555555555554,0.6627309295716548
clean-fixed,45,vivo,0.9652777777777778,0.976453999142598,0.9652777777777778,0.9609976173775532
clean-fixed,45,flow,0.9715277777777778,0.9782534638002476,0.9715277777777778,0.9721094796663692
clean-fixed,45,thinkpad-2,0.4041666666666667,0.4541023885844665,0.4041666666666667,0.3817905168035957
clean-fixed,45,flow-2,0.6527777777777778,0.7275254268007891,0.6527777777777779,0.6313547474921296
clean-fixed,46,thinkpad,0.6902777777777778,0.8770380681283991,0.6902777777777778,0.704042276922302
clean-fixed,46,vivo,0.9659722222222222,0.9757820691000416,0.9659722222222223,0.9620176776222612
clean-fixed,46,flow,0.9743055555555555,0.9807498269914472,0.9743055555555556,0.9738691678731026
clean-fixed,46,thinkpad-2,0.41458333333333336,0.5473040414814686,0.41458333333333336,0.40717400134186277
clean-fixed,46,flow-2,0.6986111111111111,0.7941355469752795,0.6986111111111112,0.6871018670127083
