variant,seed,dataset,overlay,factor,accuracy,macro_precision,macro_recall,macro_f1
clean,42,thinkpad,noise,environment,0.32430555555555557,0.6797864406237194,0.32430555555555557,0.3569837011632099
clean,42,thinkpad,rir,environment,0.8625,0.954513404105806,0.8625,0.8930311689949642
clean,42,thinkpad,dir,recording-setting,0.85625,0.9370522537524182,0.8562500000000001,0.8775150889398744
clean,42,vivo,noise,environment,0.6659722222222222,0.8943668543954687,0.6659722222222222,0.7272925317311043
clean,42,vivo,rir,environment,0.7881944444444444,0.8784784715743376,0.7881944444444444,0.7896240994222246
clean,42,vivo,dir,recording-setting,0.7979166666666667,0.8919143972641308,0.7979166666666666,0.7980133943076222
clean,42,flow,noise,environment,0.5861111111111111,0.8857516561665976,0.5861111111111111,0.6402038817607644
clean,42,flow,rir,environment,0.9347222222222222,0.9656321486431837,0.9347222222222223,0.9442235417817985
clean,42,flow,dir,recording-setting,0.9298611111111111,0.951974931146415,0.9298611111111114,0.9341378331649387
clean,42,thinkpad-2,noise,environment,0.17569444444444443,0.38302964978962506,0.17569444444444443,0.15405458758345736
clean,42,thinkpad-2,rir,environment,0.7173611111111111,0.9196884423341746,0.7173611111111111,0.760713209581831
clean,42,thinkpad-2,dir,recording-setting,0.7395833333333334,0.9112218430842939,0.7395833333333333,0.7811814159762133
clean,42,flow-2,noise,environment,0.26875,0.5856457023811655,0.26875,0.26111461093349375
clean,42,flow-2,rir,environment,0.8298611111111112,0.9348399285274505,0.8298611111111112,0.8567867163086098
clean,42,flow-2,dir,recording-setting,0.8534722222222222,0.9357652290952482,0.8534722222222224,0.8734296419552456
