variant,seed,class,n_train_class,n_support,sv_fraction
clean-fixed,43,D_diminished_4,160,117,0.73125
clean-fixed,43,D_major_4,160,110,0.6875
clean-fixed,43,D_minor_4,160,100,0.625
clean-fixed,43,E_diminished_4,160,121,0.75625
clean-fixed,43,E_major_4,160,124,0.775
clean-fixed,43,E_minor_4,160,124,0.775
clean-fixed,43,F#_diminished_4,160,117,0.73125
clean-fixed,43,F#_major_4,160,111,0.69375
clean-fixed,43,F#_minor_4,160,116,0.725
clean-fixed,43,F_diminished_4,160,114,0.7125
clean-fixed,43,F_major_4,160,116,0.725
clean-fixed,43,F_minor_4,160,121,0.75625
clean-fixed,43,G#_diminished_4,160,105,0.65625
clean-fixed,43,G#_major_4,160,106,0.6625
clean-fixed,43,G#_minor_4,160,116,0.725
clean-fixed,43,G_diminished_4,160,101,0.63125
clean-fixed,43,G_major_4,160,111,0.69375
clean-fixed,43,G_minor_4,160,108,0.675
clean-fixed,44,A#_diminished_4,160,96,0.6
clean-fixed,44,A#_major_4,152,105,0.6907894736842105
clean-fixed,44,A#_minor_4,160,95,0.59375
clean-fixed,44,A_diminished_4,160,103,0.64375
clean-fixed,44,A_major_4,160,106,0.6625
clean-fixed,44,A_minor_4,160,116,0.725
clean-fixed,44,B_diminished_4,160,113,0.70625
clean-fixed,44,B_major_4,160,102,0.6375
clean-fixed,44,B_minor_4,160,102,0.6375
clean-fixed,44,C#_diminished_4,160,80,0.5
clean-fixed,44,C#_major_4,160,103,0.64375
clean-fixed,44,C#_minor_4,160,110,0.6875
clean-fixed,44,C_diminished_4,144,119,0.8263888888888888
clean-fixed,44,C_major_4,160,114,0.7125
clean-fixed,44,C_minor_4,160,99,0.61875
clean-fixed,44,D#_diminished_4,160,135,0.84375
clean-fixed,44,D#_major_4,160,122,0.7625
clean-fixed,44,D#_minor_4,160,122,0.7625
clean-fixed,44,D_diminished_4,160,116,0.725
clean-fixed,44,D_major_4,160,103,0.64375
clean-fixed,44,D_minor_4,160,108,0.675
clean-fixed,44,E_diminished_4,160,120,0.75
clean-fixed,44,E_major_4,160,125,0.78125
clean-fixed,44,E_minor_4,160,125,0.78125
clean-fixed,44,F#_diminished_4,160,124,0.775
clean-fixed,44,F#_major_4,160,119,0.74375
clean-fixed,44,F#_minor_4,160,119,0.74375
clean-fixed,44,F_diminished_4,160,118,0.7375
clean-fixed,44,F_major_4,160,116,0.725
clean-fixed,44,F_minor_4,160,127,0.79375
clean-fixed,44,G#_diminished_4,160,110,0.6875
clean-fixed,44,G#_major_4,160,108,0.675
clean-fixed,44,G#_minor_4,160,116,0.725
clean-fixed,44,G_diminished_4,160,112,0.7
clean-fixed,44,G_major_4,160,110,0.6875
clean-fixed,44,G_minor_4,160,106,0.6625
clean-fixed,45,A#_diminished_4,160,89,0.55625
clean-fixed,45,A#_major_4,152,112,0.7368421052631579
clean-fixed,45,A#_minor_4,160,97,0.60625
clean-fixed,45,A_diminished_4,160,111,0.69375
clean-fixed,45,A_major_4,160,110,0.6875
clean-fixed,45,A_minor_4,160,119,0.74375
clean-fixed,45,B_diminished_4,160,117,0.73125
clean-fixed,45,B_major_4,160,100,0.625
clean-fixed,45,B_minor_4,160,94,0.5875
clean-fixed,45,C#_diminished_4,160,82,0.5125
clean-fixed,45,C#_major_4,160,111,0.69375
clean-fixed,45,C#_minor_4,160,106,0.6625
clean-fixed,45,C_diminished_4,149,119,0.7986577181208053
clean-fixed,45,C_major_4,160,106,0.6625
clean-fixed,45,C_minor_4,160,95,0.59375
clean-fixed,45,D#_diminished_4,160,130,0.8125
clean-fixed,45,D#_major_4,160,117,0.73125
clean-fixed,45,D#_minor_4,160,111,0.69375
clean-fixed,45,D_diminished_4,160,118,0.7375
clean-fixed,45,D_major_4,160,102,0.6375
clean-fixed,45,D_minor_4,160,108,0.675
clean-fixed,45,E_diminished_4,160,117,0.73125
clean-fixed,45,E_major_4,160,132,0.825
clean-fixed,45,E_minor_4,160,127,0.79375
clean-fixed,45,F#_diminished_4,160,116,0.725
clean-fixed,45,F#_major_4,160,123,0.76875
clean-fixed,45,F#_minor_4,160,119,0.74375
clean-fixed,45,F_diminished_4,160,117,0.73125
clean-fixed,45,F_major_4,160,117,0.73125
clean-fixed,45,F_minor_4,160,124,0.775
clean-fixed,45,G#_diminished_4,160,112,0.7
clean-fixed,45,G#_major_4,160,111,0.69375
clean-fixed,45,G#_minor_4,160,118,0.7375
clean-fixed,45,G_diminished_4,160,107,0.66875
clean-fixed,45,G_major_4,160,109,0.68125
clean-fixed,45,G_minor_4,160,109,0.68125
clean-fixed,46,A#_diminished_4,160,93,0.58125
clean-fixed,46,A#_major_4,150,108,0.72
clean-fixed,46,A#_minor_4,160,103,0.64375
clean-fixed,46,A_diminished_4,160,98,0.6125
clean-fixed,46,A_major_4,160,112,0.7
clean-fixed,46,A_minor_4,160,121,0.75625
clean-fixed,46,B_diminished_4,160,108,0.675
clean-fixed,46,B_major_4,160,99,0.61875
clean-fixed,46,B_minor_4,160,100,0.625
clean-fixed,46,C#_diminished_4,160,85,0.53125
clean-fixed,46,C#_major_4,160,109,0.68125
clean-fixed,46,C#_minor_4,160,113,0.70625
clean-fixed,46,C_diminished_4,149,122,0.8187919463087249
clean-fixed,46,C_major_4,160,111,0.69375
clean-fixed,46,C_minor_4,160,100,0.625
clean-fixed,46,D#_diminished_4,160,132,0.825
clean-fixed,46,D#_major_4,160,117,0.73125
clean-fixed,46,D#_minor_4,160,115,0.71875
clean-fixed,46,D_diminished_4,160,111,0.69375
clean-fixed,46,D_major_4,160,96,0.6
clean-fixed,46,D_minor_4,160,102,0.6375
clean-fixed,46,E_diminished_4,160,118,0.7375
clean-fixed,46,E_major_4,160,126,0.7875
clean-fixed,46,E_minor_4,160,127,0.79375
clean-fixed,46,F#_diminished_4,160,121,0.75625
clean-fixed,46,F#_major_4,160,121,0.75625
clean-fixed,46,F#_minor_4,160,122,0.7625
clean-fixed,46,F_diminished_4,160,115,0.71875
clean-fixed,46,F_major_4,160,113,0.70625
clean-fixed,46,F_minor_4,160,123,0.76875
clean-fixed,46,G#_diminished_4,160,111,0.69375
clean-fixed,46,G#_major_4,160,113,0.70625
clean-fixed,46,G#_minor_4,160,119,0.74375
clean-fixed,46,G_diminished_4,160,103,0.64375
clean-fixed,46,G_major_4,160,117,0.73125
clean-fixed,46,G_minor_4,160,110,0.6875
