variant,seed,dataset,axis,group,support,n_correct,recall
clean-fixed,42,thinkpad,quality,diminished,480,473,0.9854166666666668
clean-fixed,42,thinkpad,quality,major,480,370,0.7708333333333334
clean-fixed,42,thinkpad,quality,minor,480,301,0.6270833333333333
clean-fixed,42,thinkpad,root,A,120,108,0.9
clean-fixed,42,thinkpad,root,A#,120,97,0.8083333333333333
clean-fixed,42,thinkpad,root,B,120,74,0.6166666666666667
clean-fixed,42,thinkpad,root,C,120,120,1.0
clean-fixed,42,thinkpad,root,C#,120,113,0.9416666666666668
clean-fixed,42,thinkpad,root,D,120,48,0.4
clean-fixed,42,thinkpad,root,D#,120,45,0.375
clean-fixed,42,thinkpad,root,E,120,97,0.8083333333333333
clean-fixed,42,thinkpad,root,F,120,79,0.6583333333333333
clean-fixed,42,thinkpad,root,F#,120,119,0.9916666666666668
clean-fixed,42,thinkpad,root,G,120,119,0.9916666666666668
clean-fixed,42,thinkpad,root,G#,120,120,1.0
clean-fixed,42,vivo,quality,diminished,480,434,0.9041666666666668
clean-fixed,42,vivo,quality,major,480,479,0.9979166666666668
clean-fixed,42,vivo,quality,minor,480,478,0.9958333333333332
clean-fixed,42,vivo,root,A,120,120,1.0
clean-fixed,42,vivo,root,A#,120,120,1.0
clean-fixed,42,vivo,root,B,120,120,1.0
clean-fixed,42,vivo,root,C,120,120,1.0
clean-fixed,42,vivo,root,C#,120,120,1.0
clean-fixed,42,vivo,root,D,120,119,0.9916666666666668
clean-fixed,42,vivo,root,D#,120,118,0.9833333333333332
clean-fixed,42,vivo,root,E,120,120,1.0
clean-fixed,42,vivo,root,F,120,120,1.0
clean-fixed,42,vivo,root,F#,120,120,1.0
clean-fixed,42,vivo,root,G,120,119,0.9916666666666668
clean-fixed,42,vivo,root,G#,120,120,1.0
clean-fixed,42,flow,quality,diminished,480,480,1.0
clean-fixed,42,flow,quality,major,480,474,0.9875
clean-fixed,42,flow,quality,minor,480,454,0.9458333333333332
clean-fixed,42,flow,root,A,120,119,0.9916666666666668
clean-fixed,42,flow,root,A#,120,120,1.0
clean-fixed,42,flow,root,B,120,118,0.9833333333333332
clean-fixed,42,flow,root,C,120,120,1.0
clean-fixed,42,flow,root,C#,120,120,1.0
clean-fixed,42,flow,root,D,120,119,0.9916666666666668
clean-fixed,42,flow,root,D#,120,100,0.8333333333333334
clean-fixed,42,flow,root,E,120,118,0.9833333333333332
clean-fixed,42,flow,root,F,120,120,1.0
clean-fixed,42,flow,root,F#,120,120,1.0
clean-fixed,42,flow,root,G,120,118,0.9833333333333332
clean-fixed,42,flow,root,G#,120,119,0.9916666666666668
clean-fixed,42,thinkpad-2,quality,diminished,480,453,0.94375
clean-fixed,42,thinkpad-2,quality,major,480,201,0.41875
clean-fixed,42,thinkpad-2,quality,minor,480,198,0.4125
clean-fixed,42,thinkpad-2,root,A,120,14,0.1166666666666666
clean-fixed,42,thinkpad-2,root,A#,120,11,0.0916666666666666
clean-fixed,42,thinkpad-2,root,B,120,0,0.0
clean-fixed,42,thinkpad-2,root,C,120,120,1.0
clean-fixed,42,thinkpad-2,root,C#,120,115,0.9583333333333334
clean-fixed,42,thinkpad-2,root,D,120,41,0.3416666666666667
clean-fixed,42,thinkpad-2,root,D#,120,85,0.7083333333333334
clean-fixed,42,thinkpad-2,root,E,120,108,0.9
clean-fixed,42,thinkpad-2,root,F,120,62,0.5166666666666667
clean-fixed,42,thinkpad-2,root,F#,120,86,0.7166666666666667
clean-fixed,42,thinkpad-2,root,G,120,82,0.6833333333333333
clean-fixed,42,thinkpad-2,root,G#,120,21,0.175
clean-fixed,42,flow-2,quality,diminished,480,465,0.96875
clean-fixed,42,flow-2,quality,major,480,332,0.6916666666666667
clean-fixed,42,flow-2,quality,minor,480,355,0.7395833333333334
clean-fixed,42,flow-2,root,A,120,33,0.275
clean-fixed,42,flow-2,root,A#,120,45,0.375
clean-fixed,42,flow-2,root,B,120,10,0.0833333333333333
clean-fixed,42,flow-2,root,C,120,120,1.0
clean-fixed,42,flow-2,root,C#,120,119,0.9916666666666668
clean-fixed,42,flow-2,root,D,120,119,0.9916666666666668
clean-fixed,42,flow-2,root,D#,120,118,0.9833333333333332
clean-fixed,42,flow-2,root,E,120,116,0.9666666666666668
clean-fixed,42,flow-2,root,F,120,118,0.9833333333333332
clean-fixed,42,flow-2,root,F#,120,119,0.9916666666666668
clean-fixed,42,flow-2,root,G,120,95,0.7916666666666666
clean-fixed,42,flow-2,root,G#,120,78,0.65
clean-fixed,43,test,quality,diminished,240,240,1.0
clean-fixed,43,test,quality,major,237,237,1.0
clean-fixed,43,test,quality,minor,240,240,1.0
clean-fixed,43,test,root,A,60,60,1.0
clean-fixed,43,test,root,A#,57,57,1.0
clean-fixed,43,test,root,B,60,60,1.0
clean-fixed,43,test,root,C,60,60,1.0
clean-fixed,43,test,root,C#,60,60,1.0
clean-fixed,43,test,root,D,60,60,1.0
clean-fixed,43,test,root,D#,60,60,1.0
clean-fixed,43,test,root,E,60,60,1.0
clean-fixed,43,test,root,F,60,60,1.0
clean-fixed,43,test,root,F#,60,60,1.0
clean-fixed,43,test,root,G,60,60,1.0
clean-fixed,43,test,root,G#,60,60,1.0
clean-fixed,43,val,quality,diminished,240,240,1.0
clean-fixed,43,val,quality,major,239,239,1.0
clean-fixed,43,val,quality,minor,240,240,1.0
clean-fixed,43,val,root,A,60,60,1.0
clean-fixed,43,val,root,A#,59,59,1.0
clean-fixed,43,val,root,B,60,60,1.0
clean-fixed,43,val,root,C,60,60,1.0
clean-fixed,43,val,root,C#,60,60,1.0
clean-fixed,43,val,root,D,60,60,1.0
clean-fixed,43,val,root,D#,60,60,1.0
clean-fixed,43,val,root,E,60,60,1.0
clean-fixed,43,val,root,F,60,60,1.0
clean-fixed,43,val,root,F#,60,60,1.0
clean-fixed,43,val,root,G,60,60,1.0
clean-fixed,43,val,root,G#,60,60,1.0
clean-fixed,43,thinkpad,quality,diminished,480,478,0.9958333333333332
clean-fixed,43,thinkpad,quality,major,480,358,0.7458333333333333
clean-fixed,43,thinkpad,quality,minor,480,330,0.6875
clean-fixed,43,thinkpad,root,A,120,101,0.8416666666666667
clean-fixed,43,thinkpad,root,A#,120,119,0.9916666666666668
clean-fixed,43,thinkpad,root,B,120,92,0.7666666666666667
clean-fixed,43,thinkpad,root,C,120,120,1.0
clean-fixed,43,thinkpad,root,C#,120,115,0.9583333333333334
clean-fixed,43,thinkpad,root,D,120,40,0.3333333333333333
clean-fixed,43,thinkpad,root,D#,120,37,0.3083333333333333
clean-fixed,43,thinkpad,root,E,120,109,0.9083333333333332
clean-fixed,43,thinkpad,root,F,120,80,0.6666666666666666
clean-fixed,43,thinkpad,root,F#,120,118,0.9833333333333332
clean-fixed,43,thinkpad,root,G,120,120,1.0
clean-fixed,43,thinkpad,root,G#,120,120,1.0
clean-fixed,43,vivo,quality,diminished,480,435,0.90625
clean-fixed,43,vivo,quality,major,480,478,0.9958333333333332
clean-fixed,43,vivo,quality,minor,480,478,0.9958333333333332
clean-fixed,43,vivo,root,A,120,120,1.0
clean-fixed,43,vivo,root,A#,120,120,1.0
clean-fixed,43,vivo,root,B,120,120,1.0
clean-fixed,43,vivo,root,C,120,120,1.0
clean-fixed,43,vivo,root,C#,120,120,1.0
clean-fixed,43,vivo,root,D,120,118,0.9833333333333332
clean-fixed,43,vivo,root,D#,120,118,0.9833333333333332
clean-fixed,43,vivo,root,E,120,118,0.9833333333333332
clean-fixed,43,vivo,root,F,120,120,1.0
clean-fixed,43,vivo,root,F#,120,120,1.0
clean-fixed,43,vivo,root,G,120,120,1.0
clean-fixed,43,vivo,root,G#,120,120,1.0
clean-fixed,43,flow,quality,diminished,480,480,1.0
clean-fixed,43,flow,quality,major,480,476,0.9916666666666668
clean-fixed,43,flow,quality,minor,480,469,0.9770833333333332
clean-fixed,43,flow,root,A,120,120,1.0
clean-fixed,43,flow,root,A#,120,120,1.0
clean-fixed,43,flow,root,B,120,119,0.9916666666666668
clean-fixed,43,flow,root,C,120,120,1.0
clean-fixed,43,flow,root,C#,120,120,1.0
clean-fixed,43,flow,root,D,120,119,0.9916666666666668
clean-fixed,43,flow,root,D#,120,113,0.9416666666666668
clean-fixed,43,flow,root,E,120,118,0.9833333333333332
clean-fixed,43,flow,root,F,120,120,1.0
clean-fixed,43,flow,root,F#,120,120,1.0
clean-fixed,43,flow,root,G,120,119,0.9916666666666668
clean-fixed,43,flow,root,G#,120,120,1.0
clean-fixed,43,thinkpad-2,quality,diminished,480,480,1.0
clean-fixed,43,thinkpad-2,quality,major,480,189,0.39375
clean-fixed,43,thinkpad-2,quality,minor,480,195,0.40625
clean-fixed,43,thinkpad-2,root,A,120,0,0.0
clean-fixed,43,thinkpad-2,root,A#,120,35,0.2916666666666667
clean-fixed,43,thinkpad-2,root,B,120,0,0.0
clean-fixed,43,thinkpad-2,root,C,120,120,1.0
clean-fixed,43,thinkpad-2,root,C#,120,120,1.0
clean-fixed,43,thinkpad-2,root,D,120,37,0.3083333333333333
clean-fixed,43,thinkpad-2,root,D#,120,93,0.775
clean-fixed,43,thinkpad-2,root,E,120,114,0.95
clean-fixed,43,thinkpad-2,root,F,120,69,0.575
clean-fixed,43,thinkpad-2,root,F#,120,64,0.5333333333333333
clean-fixed,43,thinkpad-2,root,G,120,61,0.5083333333333333
clean-fixed,43,thinkpad-2,root,G#,120,42,0.35
clean-fixed,43,flow-2,quality,diminished,480,473,0.9854166666666668
clean-fixed,43,flow-2,quality,major,480,359,0.7479166666666667
clean-fixed,43,flow-2,quality,minor,480,346,0.7208333333333333
clean-fixed,43,flow-2,root,A,120,16,0.1333333333333333
clean-fixed,43,flow-2,root,A#,120,61,0.5083333333333333
clean-fixed,43,flow-2,root,B,120,17,0.1416666666666666
clean-fixed,43,flow-2,root,C,120,120,1.0
clean-fixed,43,flow-2,root,C#,120,120,1.0
clean-fixed,43,flow-2,root,D,120,119,0.9916666666666668
clean-fixed,43,flow-2,root,D#,120,119,0.9916666666666668
clean-fixed,43,flow-2,root,E,120,118,0.9833333333333332
clean-fixed,43,flow-2,root,F,120,118,0.9833333333333332
clean-fixed,43,flow-2,root,F#,120,118,0.9833333333333332
clean-fixed,43,flow-2,root,G,120,95,0.7916666666666666
clean-fixed,43,flow-2,root,G#,120,107,0.8916666666666667
clean-fixed,44,test,quality,diminished,240,240,1.0
clean-fixed,44,test,quality,major,239,239,1.0
clean-fixed,44,test,quality,minor,240,240,1.0
clean-fixed,44,test,root,A,60,60,1.0
clean-fixed,44,test,root,A#,59,59,1.0
clean-fixed,44,test,root,B,60,60,1.0
clean-fixed,44,test,root,C,60,60,1.0
clean-fixed,44,test,root,C#,60,60,1.0
clean-fixed,44,test,root,D,60,60,1.0
clean-fixed,44,test,root,D#,60,60,1.0
clean-fixed,44,test,root,E,60,60,1.0
clean-fixed,44,test,root,F,60,60,1.0
clean-fixed,44,test,root,F#,60,60,1.0
clean-fixed,44,test,root,G,60,60,1.0
clean-fixed,44,test,root,G#,60,60,1.0
clean-fixed,44,val,quality,diminished,240,240,1.0
clean-fixed,44,val,quality,major,237,237,1.0
clean-fixed,44,val,quality,minor,240,240,1.0
clean-fixed,44,val,root,A,60,60,1.0
clean-fixed,44,val,root,A#,57,57,1.0
clean-fixed,44,val,root,B,60,60,1.0
clean-fixed,44,val,root,C,60,60,1.0
clean-fixed,44,val,root,C#,60,60,1.0
clean-fixed,44,val,root,D,60,60,1.0
clean-fixed,44,val,root,D#,60,60,1.0
clean-fixed,44,val,root,E,60,60,1.0
clean-fixed,44,val,root,F,60,60,1.0
clean-fixed,44,val,root,F#,60,60,1.0
clean-fixed,44,val,root,G,60,60,1.0
clean-fixed,44,val,root,G#,60,60,1.0
clean-fixed,44,thinkpad,quality,diminished,480,479,0.9979166666666668
clean-fixed,44,thinkpad,quality,major,480,303,0.63125
clean-fixed,44,thinkpad,quality,minor,480,244,0.5083333333333333
clean-fixed,44,thinkpad,root,A,120,98,0.8166666666666667
clean-fixed,44,thinkpad,root,A#,120,79,0.6583333333333333
clean-fixed,44,thinkpad,root,B,120,74,0.6166666666666667
clean-fixed,44,thinkpad,root,C,120,120,1.0
clean-fixed,44,thinkpad,root,C#,120,108,0.9
clean-fixed,44,thinkpad,root,D,120,36,0.3
clean-fixed,44,thinkpad,root,D#,120,20,0.1666666666666666
clean-fixed,44,thinkpad,root,E,120,87,0.725
clean-fixed,44,thinkpad,root,F,120,43,0.3583333333333333
clean-fixed,44,thinkpad,root,F#,120,110,0.9166666666666666
clean-fixed,44,thinkpad,root,G,120,119,0.9916666666666668
clean-fixed,44,thinkpad,root,G#,120,120,1.0
clean-fixed,44,vivo,quality,diminished,480,432,0.9
clean-fixed,44,vivo,quality,major,480,477,0.99375
clean-fixed,44,vivo,quality,minor,480,478,0.9958333333333332
clean-fixed,44,vivo,root,A,120,120,1.0
clean-fixed,44,vivo,root,A#,120,120,1.0
clean-fixed,44,vivo,root,B,120,120,1.0
clean-fixed,44,vivo,root,C,120,120,1.0
clean-fixed,44,vivo,root,C#,120,120,1.0
clean-fixed,44,vivo,root,D,120,119,0.9916666666666668
clean-fixed,44,vivo,root,D#,120,118,0.9833333333333332
clean-fixed,44,vivo,root,E,120,119,0.9916666666666668
clean-fixed,44,vivo,root,F,120,118,0.9833333333333332
clean-fixed,44,vivo,root,F#,120,120,1.0
clean-fixed,44,vivo,root,G,120,119,0.9916666666666668
clean-fixed,44,vivo,root,G#,120,120,1.0
clean-fixed,44,flow,quality,diminished,480,480,1.0
clean-fixed,44,flow,quality,major,480,472,0.9833333333333332
clean-fixed,44,flow,quality,minor,480,450,0.9375
clean-fixed,44,flow,root,A,120,119,0.9916666666666668
clean-fixed,44,flow,root,A#,120,120,1.0
clean-fixed,44,flow,root,B,120,112,0.9333333333333332
clean-fixed,44,flow,root,C,120,120,1.0
clean-fixed,44,flow,root,C#,120,120,1.0
clean-fixed,44,flow,root,D,120,118,0.9833333333333332
clean-fixed,44,flow,root,D#,120,105,0.875
clean-fixed,44,flow,root,E,120,117,0.975
clean-fixed,44,flow,root,F,120,120,1.0
clean-fixed,44,flow,root,F#,120,120,1.0
clean-fixed,44,flow,root,G,120,117,0.975
clean-fixed,44,flow,root,G#,120,118,0.9833333333333332
clean-fixed,44,thinkpad-2,quality,diminished,480,478,0.9958333333333332
clean-fixed,44,thinkpad-2,quality,major,480,147,0.30625
clean-fixed,44,thinkpad-2,quality,minor,480,162,0.3375
clean-fixed,44,thinkpad-2,root,A,120,0,0.0
clean-fixed,44,thinkpad-2,root,A#,120,28,0.2333333333333333
clean-fixed,44,thinkpad-2,root,B,120,0,0.0
clean-fixed,44,thinkpad-2,root,C,120,120,1.0
clean-fixed,44,thinkpad-2,root,C#,120,112,0.9333333333333332
clean-fixed,44,thinkpad-2,root,D,120,32,0.2666666666666666
clean-fixed,44,thinkpad-2,root,D#,120,79,0.6583333333333333
clean-fixed,44,thinkpad-2,root,E,120,97,0.8083333333333333
clean-fixed,44,thinkpad-2,root,F,120,39,0.325
clean-fixed,44,thinkpad-2,root,F#,120,57,0.475
clean-fixed,44,thinkpad-2,root,G,120,76,0.6333333333333333
clean-fixed,44,thinkpad-2,root,G#,120,21,0.175
clean-fixed,44,flow-2,quality,diminished,480,477,0.99375
clean-fixed,44,flow-2,quality,major,480,286,0.5958333333333333
clean-fixed,44,flow-2,quality,minor,480,332,0.6916666666666667
clean-fixed,44,flow-2,root,A,120,24,0.2
clean-fixed,44,flow-2,root,A#,120,38,0.3166666666666666
clean-fixed,44,flow-2,root,B,120,1,0.0083333333333333
clean-fixed,44,flow-2,root,C,120,120,1.0
clean-fixed,44,flow-2,root,C#,120,117,0.975
clean-fixed,44,flow-2,root,D,120,117,0.975
clean-fixed,44,flow-2,root,D#,120,115,0.9583333333333334
clean-fixed,44,flow-2,root,E,120,114,0.95
clean-fixed,44,flow-2,root,F,120,108,0.9
clean-fixed,44,flow-2,root,F#,120,110,0.9166666666666666
clean-fixed,44,flow-2,root,G,120,91,0.7583333333333333
clean-fixed,44,flow-2,root,G#,120,55,0.4583333333333333
clean-fixed,45,test,quality,diminished,239,239,1.0
clean-fixed,45,test,quality,major,240,240,1.0
clean-fixed,45,test,quality,minor,240,240,1.0
clean-fixed,45,test,root,A,60,60,1.0
clean-fixed,45,test,root,A#,60,60,1.0
clean-fixed,45,test,root,B,60,60,1.0
clean-fixed,45,test,root,C,59,59,1.0
clean-fixed,45,test,root,C#,60,60,1.0
clean-fixed,45,test,root,D,60,60,1.0
clean-fixed,45,test,root,D#,60,60,1.0
clean-fixed,45,test,root,E,60,60,1.0
clean-fixed,45,test,root,F,60,60,1.0
clean-fixed,45,test,root,F#,60,60,1.0
clean-fixed,45,test,root,G,60,60,1.0
clean-fixed,45,test,root,G#,60,60,1.0
clean-fixed,45,val,quality,diminished,236,236,1.0
clean-fixed,45,val,quality,major,236,236,1.0
clean-fixed,45,val,quality,minor,240,240,1.0
clean-fixed,45,val,root,A,60,60,1.0
clean-fixed,45,val,root,A#,56,56,1.0
clean-fixed,45,val,root,B,60,60,1.0
clean-fixed,45,val,root,C,56,56,1.0
clean-fixed,45,val,root,C#,60,60,1.0
clean-fixed,45,val,root,D,60,60,1.0
clean-fixed,45,val,root,D#,60,60,1.0
clean-fixed,45,val,root,E,60,60,1.0
clean-fixed,45,val,root,F,60,60,1.0
clean-fixed,45,val,root,F#,60,60,1.0
clean-fixed,45,val,root,G,60,60,1.0
clean-fixed,45,val,root,G#,60,60,1.0
clean-fixed,45,thinkpad,quality,diminished,480,463,0.9645833333333332
clean-fixed,45,thinkpad,quality,major,480,297,0.61875
clean-fixed,45,thinkpad,quality,minor,480,263,0.5479166666666667
clean-fixed,45,thinkpad,root,A,120,97,0.8083333333333333
clean-fixed,45,thinkpad,root,A#,120,97,0.8083333333333333
clean-fixed,45,thinkpad,root,B,120,62,0.5166666666666667
clean-fixed,45,thinkpad,root,C,120,120,1.0
clean-fixed,45,thinkpad,root,C#,120,105,0.875
clean-fixed,45,thinkpad,root,D,120,35,0.2916666666666667
clean-fixed,45,thinkpad,root,D#,120,20,0.1666666666666666
clean-fixed,45,thinkpad,root,E,120,83,0.6916666666666667
clean-fixed,45,thinkpad,root,F,120,48,0.4
clean-fixed,45,thinkpad,root,F#,120,83,0.6916666666666667
clean-fixed,45,thinkpad,root,G,120,118,0.9833333333333332
clean-fixed,45,thinkpad,root,G#,120,120,1.0
clean-fixed,45,vivo,quality,diminished,480,437,0.9104166666666668
clean-fixed,45,vivo,quality,major,480,476,0.9916666666666668
clean-fixed,45,vivo,quality,minor,480,478,0.9958333333333332
clean-fixed,45,vivo,root,A,120,120,1.0
clean-fixed,45,vivo,root,A#,120,120,1.0
clean-fixed,45,vivo,root,B,120,120,1.0
clean-fixed,45,vivo,root,C,120,120,1.0
clean-fixed,45,vivo,root,C#,120,120,1.0
clean-fixed,45,vivo,root,D,120,117,0.975
clean-fixed,45,vivo,root,D#,120,118,0.9833333333333332
clean-fixed,45,vivo,root,E,120,119,0.9916666666666668
clean-fixed,45,vivo,root,F,120,119,0.9916666666666668
clean-fixed,45,vivo,root,F#,120,120,1.0
clean-fixed,45,vivo,root,G,120,119,0.9916666666666668
clean-fixed,45,vivo,root,G#,120,120,1.0
clean-fixed,45,flow,quality,diminished,480,480,1.0
clean-fixed,45,flow,quality,major,480,468,0.975
clean-fixed,45,flow,quality,minor,480,452,0.9416666666666668
clean-fixed,45,flow,root,A,120,119,0.9916666666666668
clean-fixed,45,flow,root,A#,120,120,1.0
clean-fixed,45,flow,root,B,120,112,0.9333333333333332
clean-fixed,45,flow,root,C,120,120,1.0
clean-fixed,45,flow,root,C#,120,119,0.9916666666666668
clean-fixed,45,flow,root,D,120,116,0.9666666666666668
clean-fixed,45,flow,root,D#,120,106,0.8833333333333333
clean-fixed,45,flow,root,E,120,117,0.975
clean-fixed,45,flow,root,F,120,120,1.0
clean-fixed,45,flow,root,F#,120,120,1.0
clean-fixed,45,flow,root,G,120,119,0.9916666666666668
clean-fixed,45,flow,root,G#,120,118,0.9833333333333332
clean-fixed,45,thinkpad-2,quality,diminished,480,479,0.9979166666666668
clean-fixed,45,thinkpad-2,quality,major,480,133,0.2770833333333333
clean-fixed,45,thinkpad-2,quality,minor,480,169,0.3520833333333333
clean-fixed,45,thinkpad-2,root,A,120,0,0.0
clean-fixed,45,thinkpad-2,root,A#,120,31,0.2583333333333333
clean-fixed,45,thinkpad-2,root,B,120,0,0.0
clean-fixed,45,thinkpad-2,root,C,120,120,1.0
clean-fixed,45,thinkpad-2,root,C#,120,112,0.9333333333333332
clean-fixed,45,thinkpad-2,root,D,120,32,0.2666666666666666
clean-fixed,45,thinkpad-2,root,D#,120,80,0.6666666666666666
clean-fixed,45,thinkpad-2,root,E,120,99,0.825
clean-fixed,45,thinkpad-2,root,F,120,50,0.4166666666666667
clean-fixed,45,thinkpad-2,root,F#,120,54,0.45
clean-fixed,45,thinkpad-2,root,G,120,33,0.275
clean-fixed,45,thinkpad-2,root,G#,120,21,0.175
clean-fixed,45,flow-2,quality,diminished,480,476,0.9916666666666668
clean-fixed,45,flow-2,quality,major,480,293,0.6104166666666667
clean-fixed,45,flow-2,quality,minor,480,335,0.6979166666666666
clean-fixed,45,flow-2,root,A,120,22,0.1833333333333333
clean-fixed,45,flow-2,root,A#,120,39,0.325
clean-fixed,45,flow-2,root,B,120,0,0.0
clean-fixed,45,flow-2,root,C,120,120,1.0
clean-fixed,45,flow-2,root,C#,120,117,0.975
clean-fixed,45,flow-2,root,D,120,115,0.9583333333333334
clean-fixed,45,flow-2,root,D#,120,114,0.95
clean-fixed,45,flow-2,root,E,120,113,0.9416666666666668
clean-fixed,45,flow-2,root,F,120,109,0.9083333333333332
clean-fixed,45,flow-2,root,F#,120,82,0.6833333333333333
clean-fixed,45,flow-2,root,G,120,83,0.6916666666666667
clean-fixed,45,flow-2,root,G#,120,58,0.4833333333333333
clean-fixed,46,test,quality,diminished,237,237,1.0
clean-fixed,46,test,quality,major,239,239,1.0
clean-fixed,46,test,quality,minor,240,240,1.0
clean-fixed,46,test,root,A,60,60,1.0
clean-fixed,46,test,root,A#,59,59,1.0
clean-fixed,46,test,root,B,60,60,1.0
clean-fixed,46,test,root,C,57,57,1.0
clean-fixed,46,test,root,C#,60,60,1.0
clean-fixed,46,test,root,D,60,60,1.0
clean-fixed,46,test,root,D#,60,60,1.0
clean-fixed,46,test,root,E,60,60,1.0
clean-fixed,46,test,root,F,60,60,1.0
clean-fixed,46,test,root,F#,60,60,1.0
clean-fixed,46,test,root,G,60,60,1.0
clean-fixed,46,test,root,G#,60,60,1.0
clean-fixed,46,val,quality,diminished,238,238,1.0
clean-fixed,46,val,quality,major,239,239,1.0
clean-fixed,46,val,quality,minor,240,240,1.0
clean-fixed,46,val,root,A,60,60,1.0
clean-fixed,46,val,root,A#,59,59,1.0
clean-fixed,46,val,root,B,60,60,1.0
clean-fixed,46,val,root,C,58,58,1.0
clean-fixed,46,val,root,C#,60,60,1.0
clean-fixed,46,val,root,D,60,60,1.0
clean-fixed,46,val,root,D#,60,60,1.0
clean-fixed,46,val,root,E,60,60,1.0
clean-fixed,46,val,root,F,60,60,1.0
clean-fixed,46,val,root,F#,60,60,1.0
clean-fixed,46,val,root,G,60,60,1.0
clean-fixed,46,val,root,G#,60,60,1.0
clean-fixed,46,thinkpad,quality,diminished,480,479,0.9979166666666667
clean-fixed,46,thinkpad,quality,major,480,301,0.6270833333333333
clean-fixed,46,thinkpad,quality,minor,480,263,0.5479166666666667
clean-fixed,46,thinkpad,root,A,120,97,0.8083333333333333
clean-fixed,46,thinkpad,root,A#,120,97,0.8083333333333333
clean-fixed,46,thinkpad,root,B,120,85,0.7083333333333334
clean-fixed,46,thinkpad,root,C,120,119,0.9916666666666667
clean-fixed,46,thinkpad,root,C#,120,108,0.9
clean-fixed,46,thinkpad,root,D,120,36,0.3
clean-fixed,46,thinkpad,root,D#,120,21,0.175
clean-fixed,46,thinkpad,root,E,120,92,0.7666666666666667
clean-fixed,46,thinkpad,root,F,120,58,0.48333333333333334
clean-fixed,46,thinkpad,root,F#,120,112,0.9333333333333333
clean-fixed,46,thinkpad,root,G,120,119,0.9916666666666667
clean-fixed,46,thinkpad,root,G#,120,120,1.0
clean-fixed,46,vivo,quality,diminished,480,442,0.9208333333333333
clean-fixed,46,vivo,quality,major,480,480,1.0
clean-fixed,46,vivo,quality,minor,480,478,0.9958333333333333
clean-fixed,46,vivo,root,A,120,120,1.0
clean-fixed,46,vivo,root,A#,120,120,1.0
clean-fixed,46,vivo,root,B,120,120,1.0
clean-fixed,46,vivo,root,C,120,120,1.0
clean-fixed,46,vivo,root,C#,120,120,1.0
clean-fixed,46,vivo,root,D,120,120,1.0
clean-fixed,46,vivo,root,D#,120,118,0.9833333333333333
clean-fixed,46,vivo,root,E,120,111,0.925
clean-fixed,46,vivo,root,F,120,120,1.0
clean-fixed,46,vivo,root,F#,120,120,1.0
clean-fixed,46,vivo,root,G,120,120,1.0
clean-fixed,46,vivo,root,G#,120,120,1.0
clean-fixed,46,flow,quality,diminished,480,480,1.0
clean-fixed,46,flow,quality,major,480,471,0.98125
clean-fixed,46,flow,quality,minor,480,453,0.94375
clean-fixed,46,flow,root,A,120,119,0.9916666666666667
clean-fixed,46,flow,root,A#,120,120,1.0
clean-fixed,46,flow,root,B,120,119,0.9916666666666667
clean-fixed,46,flow,root,C,120,120,1.0
clean-fixed,46,flow,root,C#,120,120,1.0
clean-fixed,46,flow,root,D,120,118,0.9833333333333333
clean-fixed,46,flow,root,D#,120,100,0.8333333333333334
clean-fixed,46,flow,root,E,120,118,0.9833333333333333
clean-fixed,46,flow,root,F,120,120,1.0
clean-fixed,46,flow,root,F#,120,120,1.0
clean-fixed,46,flow,root,G,120,119,0.9916666666666667
clean-fixed,46,flow,root,G#,120,118,0.9833333333333333
clean-fixed,46,thinkpad-2,quality,diminished,480,480,1.0
clean-fixed,46,thinkpad-2,quality,major,480,144,0.3
clean-fixed,46,thinkpad-2,quality,minor,480,169,0.35208333333333336
clean-fixed,46,thinkpad-2,root,A,120,0,0.0
clean-fixed,46,thinkpad-2,root,A#,120,34,0.2833333333333333
clean-fixed,46,thinkpad-2,root,B,120,0,0.0
clean-fixed,46,thinkpad-2,root,C,120,120,1.0
clean-fixed,46,thinkpad-2,root,C#,120,92,0.7666666666666667
clean-fixed,46,thinkpad-2,root,D,120,31,0.25833333333333336
clean-fixed,46,thinkpad-2,root,D#,120,80,0.6666666666666666
clean-fixed,46,thinkpad-2,root,E,120,98,0.8166666666666667
clean-fixed,46,thinkpad-2,root,F,120,51,0.425
clean-fixed,46,thinkpad-2,root,F#,120,61,0.5083333333333333
clean-fixed,46,thinkpad-2,root,G,120,74,0.6166666666666667
clean-fixed,46,thinkpad-2,root,G#,120,21,0.175
clean-fixed,46,flow-2,quality,diminished,480,479,0.9979166666666667
clean-fixed,46,flow-2,quality,major,480,319,0.6645833333333333
clean-fixed,46,flow-2,quality,minor,480,326,0.6791666666666667
clean-fixed,46,flow-2,root,A,120,21,0.175
clean-fixed,46,flow-2,root,A#,120,48,0.4
clean-fixed,46,flow-2,root,B,120,1,0.008333333333333333
clean-fixed,46,flow-2,root,C,120,120,1.0
clean-fixed,46,flow-2,root,C#,120,116,0.9666666666666667
clean-fixed,46,flow-2,root,D,120,117,0.975
clean-fixed,46,flow-2,root,D#,120,114,0.95
clean-fixed,46,flow-2,root,E,120,113,0.9416666666666667
clean-fixed,46,flow-2,root,F,120,115,0.9583333333333334
clean-fixed,46,flow-2,root,F#,120,116,0.9666666666666667
clean-fixed,46,flow-2,root,G,120,104,0.8666666666666667
clean-fixed,46,flow-2,root,G#,120,70,0.5833333333333334
