variant,fold,seed,n_train,n_val,n_test,epochs_run,train_loss,train_accuracy,val_loss,val_accuracy,test_loss,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1
clean,0,42,5019,718,1435,26,1.353510697299498e-06,1.0,0.0014206678606569,1.0,0.0,1.0,1.0,1.0,1.0
clean,1,43,5019,718,1435,23,3.6382807593327016e-05,1.0,9.463688499522505e-09,1.0,2.4982211471069604e-05,1.0,1.0,1.0,1.0
clean,2,44,5020,718,1434,11,5.21986430612742e-06,1.0,2.324414216658965e-09,1.0,0.0013943521771579,0.999302625656128,0.9993224932249324,0.9992283950617284,0.99926582816515
clean,3,45,5020,718,1434,16,5.549185971176485e-06,1.0,2.209819740528474e-07,1.0,0.0004446246311999,1.0,1.0,1.0,1.0
clean,4,46,5020,718,1434,10,1.2225013051647693e-05,1.0,0.0013438633177429438,1.0,1.345002544894669e-07,1.0,1.0,1.0,1.0
