variant,seed,dataset,class,recall
orig,42,thinkpad-2,E_major_4,1.0
orig,42,thinkpad-2,E_minor_4,1.0
orig,42,thinkpad-2,F#_diminished_4,0.325
orig,42,thinkpad-2,F#_major_4,1.0
orig,42,thinkpad-2,F#_minor_4,1.0
orig,42,thinkpad-2,F_diminished_4,0.125
orig,42,thinkpad-2,F_major_4,1.0
orig,42,thinkpad-2,F_minor_4,0.95
orig,42,thinkpad-2,G#_diminished_4,0.9
orig,42,thinkpad-2,G#_major_4,1.0
orig,42,thinkpad-2,G#_minor_4,1.0
orig,42,thinkpad-2,G_diminished_4,1.0
orig,42,thinkpad-2,G_major_4,1.0
orig,42,thinkpad-2,G_minor_4,1.0
orig,42,flow-2,A#_diminished_4,0.0
orig,42,flow-2,A#_major_4,1.0
orig,42,flow-2,A#_minor_4,0.875
orig,42,flow-2,A_diminished_4,0.95
orig,42,flow-2,A_major_4,0.925
orig,42,flow-2,A_minor_4,0.925
orig,42,flow-2,B_diminished_4,1.0
orig,42,flow-2,B_major_4,0.125
orig,42,flow-2,B_minor_4,1.0
orig,42,flow-2,C#_diminished_4,1.0
orig,42,flow-2,C#_major_4,1.0
orig,42,flow-2,C#_minor_4,1.0
orig,42,flow-2,C_diminished_4,1.0
orig,42,flow-2,C_major_4,1.0
orig,42,flow-2,C_minor_4,0.975
orig,42,flow-2,D#_diminished_4,1.0
orig,42,flow-2,D#_major_4,1.0
orig,42,flow-2,D#_minor_4,1.0
orig,42,flow-2,D_diminished_4,1.0
orig,42,flow-2,D_major_4,0.7
orig,42,flow-2,D_minor_4,0.125
orig,42,flow-2,E_diminished_4,1.0
orig,42,flow-2,E_major_4,1.0
orig,42,flow-2,E_minor_4,1.0
orig,42,flow-2,F#_diminished_4,0.35
orig,42,flow-2,F#_major_4,1.0
orig,42,flow-2,F#_minor_4,0.875
orig,42,flow-2,F_diminished_4,0.3
orig,42,flow-2,F_major_4,1.0
orig,42,flow-2,F_minor_4,0.975
orig,42,flow-2,G#_diminished_4,0.65
orig,42,flow-2,G#_major_4,1.0
orig,42,flow-2,G#_minor_4,1.0
orig,42,flow-2,G_diminished_4,1.0
orig,42,flow-2,G_major_4,1.0
orig,42,flow-2,G_minor_4,1.0
orig,43,thinkpad,A#_diminished_4,0.275
orig,43,thinkpad,A#_major_4,1.0
orig,43,thinkpad,A#_minor_4,0.95
orig,43,thinkpad,A_diminished_4,1.0
orig,43,thinkpad,A_major_4,1.0
orig,43,thinkpad,A_minor_4,1.0
orig,43,thinkpad,B_diminished_4,1.0
orig,43,thinkpad,B_major_4,1.0
orig,43,thinkpad,B_minor_4,0.875
orig,43,thinkpad,C#_diminished_4,1.0
orig,43,thinkpad,C#_major_4,0.95
orig,43,thinkpad,C#_minor_4,1.0
orig,43,thinkpad,C_diminished_4,1.0
orig,43,thinkpad,C_major_4,1.0
orig,43,thinkpad,C_minor_4,0.6
orig,43,thinkpad,D#_diminished_4,1.0
orig,43,thinkpad,D#_major_4,1.0
orig,43,thinkpad,D#_minor_4,1.0
orig,43,thinkpad,D_diminished_4,1.0
orig,43,thinkpad,D_major_4,0.975
orig,43,thinkpad,D_minor_4,1.0
orig,43,thinkpad,E_diminished_4,1.0
orig,43,thinkpad,E_major_4,1.0
orig,43,thinkpad,E_minor_4,1.0
orig,43,thinkpad,F#_diminished_4,1.0
orig,43,thinkpad,F#_major_4,1.0
orig,43,thinkpad,F#_minor_4,1.0
orig,43,thinkpad,F_diminished_4,1.0
orig,43,thinkpad,F_major_4,0.475
orig,43,thinkpad,F_minor_4,0.95
orig,43,thinkpad,G#_diminished_4,1.0
orig,43,thinkpad,G#_major_4,1.0
orig,43,thinkpad,G#_minor_4,1.0
orig,43,thinkpad,G_diminished_4,0.6
orig,43,thinkpad,G_major_4,1.0
orig,43,thinkpad,G_minor_4,1.0
orig,43,vivo,A#_diminished_4,0.55
orig,43,vivo,A#_major_4,1.0
orig,43,vivo,A#_minor_4,0.025
orig,43,vivo,A_diminished_4,1.0
orig,43,vivo,A_major_4,1.0
orig,43,vivo,A_minor_4,1.0
orig,43,vivo,B_diminished_4,1.0
orig,43,vivo,B_major_4,1.0
orig,43,vivo,B_minor_4,1.0
orig,43,vivo,C#_diminished_4,1.0
orig,43,vivo,C#_major_4,1.0
orig,43,vivo,C#_minor_4,0.975
orig,43,vivo,C_diminished_4,1.0
orig,43,vivo,C_major_4,0.65
orig,43,vivo,C_minor_4,0.2
orig,43,vivo,D#_diminished_4,0.025
orig,43,vivo,D#_major_4,1.0
orig,43,vivo,D#_minor_4,1.0
orig,43,vivo,D_diminished_4,1.0
orig,43,vivo,D_major_4,1.0
orig,43,vivo,D_minor_4,0.0
orig,43,vivo,E_diminished_4,0.0
orig,43,vivo,E_major_4,1.0
orig,43,vivo,E_minor_4,1.0
orig,43,vivo,F#_diminished_4,1.0
orig,43,vivo,F#_major_4,0.8
orig,43,vivo,F#_minor_4,0.975
orig,43,vivo,F_diminished_4,1.0
orig,43,vivo,F_major_4,0.8
orig,43,vivo,F_minor_4,1.0
orig,43,vivo,G#_diminished_4,0.95
orig,43,vivo,G#_major_4,0.925
orig,43,vivo,G#_minor_4,1.0
orig,43,vivo,G_diminished_4,0.0
orig,43,vivo,G_major_4,1.0
orig,43,vivo,G_minor_4,0.8
orig,43,flow,A#_diminished_4,0.825
orig,43,flow,A#_major_4,1.0
orig,43,flow,A#_minor_4,0.225
orig,43,flow,A_diminished_4,1.0
orig,43,flow,A_major_4,0.6
orig,43,flow,A_minor_4,1.0
orig,43,flow,B_diminished_4,1.0
orig,43,flow,B_major_4,0.9
orig,43,flow,B_minor_4,0.975
orig,43,flow,C#_diminished_4,1.0
orig,43,flow,C#_major_4,1.0
orig,43,flow,C#_minor_4,1.0
orig,43,flow,C_diminished_4,1.0
orig,43,flow,C_major_4,1.0
orig,43,flow,C_minor_4,0.85
orig,43,flow,D#_diminished_4,0.0
orig,43,flow,D#_major_4,1.0
orig,43,flow,D#_minor_4,1.0
orig,43,flow,D_diminished_4,1.0
orig,43,flow,D_major_4,0.8
orig,43,flow,D_minor_4,0.2
orig,43,flow,E_diminished_4,0.0
orig,43,flow,E_major_4,1.0
orig,43,flow,E_minor_4,0.4
orig,43,flow,F#_diminished_4,1.0
orig,43,flow,F#_major_4,1.0
orig,43,flow,F#_minor_4,0.9
orig,43,flow,F_diminished_4,1.0
orig,43,flow,F_major_4,0.725
orig,43,flow,F_minor_4,1.0
orig,43,flow,G#_diminished_4,0.925
orig,43,flow,G#_major_4,1.0
orig,43,flow,G#_minor_4,1.0
orig,43,flow,G_diminished_4,0.775
orig,43,flow,G_major_4,1.0
orig,43,flow,G_minor_4,1.0
orig,43,thinkpad-2,A#_diminished_4,0.425
orig,43,thinkpad-2,A#_major_4,0.85
orig,43,thinkpad-2,A#_minor_4,0.275
orig,43,thinkpad-2,A_diminished_4,0.0
orig,43,thinkpad-2,A_major_4,1.0
orig,43,thinkpad-2,A_minor_4,0.95
orig,43,thinkpad-2,B_diminished_4,0.75
orig,43,thinkpad-2,B_major_4,0.375
orig,43,thinkpad-2,B_minor_4,0.825
orig,43,thinkpad-2,C#_diminished_4,1.0
orig,43,thinkpad-2,C#_major_4,0.0
orig,43,thinkpad-2,C#_minor_4,0.2
orig,43,thinkpad-2,C_diminished_4,1.0
orig,43,thinkpad-2,C_major_4,1.0
orig,43,thinkpad-2,C_minor_4,0.4
orig,43,thinkpad-2,D#_diminished_4,0.9
orig,43,thinkpad-2,D#_major_4,1.0
orig,43,thinkpad-2,D#_minor_4,1.0
orig,43,thinkpad-2,D_diminished_4,0.0
orig,43,thinkpad-2,D_major_4,0.0
orig,43,thinkpad-2,D_minor_4,0.0
orig,43,thinkpad-2,E_diminished_4,1.0
orig,43,thinkpad-2,E_major_4,0.975
orig,43,thinkpad-2,E_minor_4,1.0
orig,43,thinkpad-2,F#_diminished_4,0.675
orig,43,thinkpad-2,F#_major_4,1.0
orig,43,thinkpad-2,F#_minor_4,0.375
orig,43,thinkpad-2,F_diminished_4,0.3
orig,43,thinkpad-2,F_major_4,0.825
