variant,seed,dataset,overlay,factor,n,accuracy,macro_precision,macro_recall,macro_f1,tax
orig,42,training-test,none,none,720,1.0,1.0,1.0,1.0,0.0
orig,42,training-test,noise,environment,720,0.9125,0.958988460704147,0.9125,0.9272831289126062,0.0875
orig,42,training-test,rir,environment,720,0.9680555555555556,0.9741633123212068,0.9680555555555556,0.9666631382442988,0.0319444444444444
orig,42,training-test,dir,recording-setting,720,0.9902777777777778,0.990981240981241,0.990277777777778,0.9902612482843548,0.0097222222222221
orig,43,training-test,none,none,720,1.0,1.0,1.0,1.0,0.0
orig,43,training-test,noise,environment,720,0.9,0.9216566110034836,0.8999999999999999,0.9037293870368456,0.0999999999999999
orig,43,training-test,rir,environment,720,0.9611111111111112,0.964540892519086,0.9611111111111112,0.9609425592570848,0.0388888888888888
orig,43,training-test,dir,recording-setting,720,0.9875,0.9882154882154884,0.9875,0.9874436886632008,0.0124999999999999
orig,44,training-test,none,none,720,1.0,1.0,1.0,1.0,0.0
orig,44,training-test,noise,environment,720,0.9055555555555556,0.9469573140320984,0.9055555555555556,0.918136014384789,0.0944444444444444
orig,44,training-test,rir,environment,720,0.9888888888888888,0.9900035552209464,0.9888888888888888,0.9890410003853,0.011111111111111
orig,44,training-test,dir,recording-setting,720,0.9972222222222222,0.9973544973544972,0.9972222222222222,0.9972204850253632,0.0027777777777777
orig,45,training-test,none,none,720,1.0,1.0,1.0,1.0,0.0
orig,45,training-test,noise,environment,720,0.9694444444444444,0.975257588415483,0.9694444444444444,0.9706033984917168,0.0305555555555555
orig,45,training-test,rir,environment,720,0.9777777777777776,0.9802272204446116,0.977777777777778,0.9777115554122946,0.0222222222222222
orig,45,training-test,dir,recording-setting,720,0.9902777777777778,0.9912060564234476,0.990277777777778,0.9901610787411506,0.0097222222222221
orig,46,training-test,none,none,720,1.0,1.0,1.0,1.0,0.0
orig,46,training-test,noise,environment,720,0.9694444444444444,0.9814188248398774,0.9694444444444446,0.9725800306662152,0.0305555555555555
orig,46,training-test,rir,environment,720,0.9958333333333332,0.9963768115942028,0.9958333333333332,0.9959252633671238,0.0041666666666666
orig,46,training-test,dir,recording-setting,720,0.9916666666666668,0.9925288077461992,0.9916666666666666,0.9916352661374602,0.0083333333333333
clean,42,training-test,none,none,718,1.0,1.0,1.0,1.0,0.0
clean,42,training-test,noise,environment,718,0.9442896935933148,0.947578474663771,0.9442982456140347,0.9443203205129485,0.0557103064066852
clean,42,training-test,rir,environment,718,0.9610027855153204,0.9652644456992284,0.9611111111111112,0.9606768516046462,0.0389972144846796
clean,42,training-test,dir,recording-setting,718,0.9972144846796658,0.9973544973544972,0.9972222222222222,0.9972204850253632,0.0027855153203342
clean,43,training-test,none,none,718,1.0,1.0,1.0,1.0,0.0
clean,43,training-test,noise,environment,718,0.9289693593314764,0.9454585858952752,0.9289473684210524,0.9322842721445446,0.0710306406685237
clean,43,training-test,rir,environment,718,0.977715877437326,0.9794756571930484,0.977777777777778,0.9772741671218896,0.022284122562674
clean,43,training-test,dir,recording-setting,718,0.9958217270194986,0.9961519961519962,0.9958333333333332,0.9958255028858366,0.0041782729805014
clean,44,training-test,none,none,718,1.0,1.0,1.0,1.0,0.0
clean,44,training-test,noise,environment,718,0.98050139275766,0.9818024970198884,0.9805555555555558,0.9806309560959232,0.0194986072423398
clean,44,training-test,rir,environment,718,0.9916434540389972,0.9921176046176048,0.9916666666666668,0.991694585901903,0.0083565459610027
clean,44,training-test,dir,recording-setting,718,0.9930362116991645,0.9935064935064936,0.9930555555555556,0.9930459879111996,0.0069637883008356
clean,45,training-test,none,none,718,1.0,1.0,1.0,1.0,0.0
clean,45,training-test,noise,environment,718,0.9498607242339832,0.9592453539355068,0.9499269005847952,0.9506214918999032,0.0501392757660167
clean,45,training-test,rir,environment,718,0.9888579387186628,0.9900793650793652,0.9888888888888888,0.9889917409172864,0.0111420612813371
clean,45,training-test,dir,recording-setting,718,0.9972144846796658,0.9972883597883596,0.9972222222222222,0.9972213536237926,0.0027855153203342
clean,46,training-test,none,none,718,1.0,1.0,1.0,1.0,0.0
clean,46,training-test,noise,environment,718,0.9818941504178272,0.9827922077922078,0.98187134502924,0.981888422228602,0.0181058495821726
clean,46,training-test,rir,environment,718,0.9958217270194986,0.996031746031746,0.9958333333333332,0.9958307275380446,0.0041782729805014
clean,46,training-test,dir,recording-setting,718,0.9944289693593314,0.9950540602714517,0.9944444444444444,0.9944980190002133,0.005571030640668551
