variant,seed,dataset,overlay,class,recall
clean,42,vivo,noise,A#_major_4,1.0
clean,42,vivo,noise,A#_minor_4,1.0
clean,42,vivo,noise,A_diminished_4,1.0
clean,42,vivo,noise,A_major_4,1.0
clean,42,vivo,noise,A_minor_4,1.0
clean,42,vivo,noise,B_diminished_4,1.0
clean,42,vivo,noise,B_major_4,1.0
clean,42,vivo,noise,B_minor_4,0.975
clean,42,vivo,noise,C#_diminished_4,1.0
clean,42,vivo,noise,C#_major_4,1.0
clean,42,vivo,noise,C#_minor_4,1.0
clean,42,vivo,noise,C_diminished_4,1.0
clean,42,vivo,noise,C_major_4,1.0
clean,42,vivo,noise,C_minor_4,1.0
clean,42,vivo,noise,D#_diminished_4,1.0
clean,42,vivo,noise,D#_major_4,1.0
clean,42,vivo,noise,D#_minor_4,1.0
clean,42,vivo,noise,D_diminished_4,1.0
clean,42,vivo,noise,D_major_4,1.0
clean,42,vivo,noise,D_minor_4,1.0
clean,42,vivo,noise,E_diminished_4,1.0
clean,42,vivo,noise,E_major_4,1.0
clean,42,vivo,noise,E_minor_4,1.0
clean,42,vivo,noise,F#_diminished_4,1.0
clean,42,vivo,noise,F#_major_4,1.0
clean,42,vivo,noise,F#_minor_4,1.0
clean,42,vivo,noise,F_diminished_4,1.0
clean,42,vivo,noise,F_major_4,1.0
clean,42,vivo,noise,F_minor_4,1.0
clean,42,vivo,noise,G#_diminished_4,1.0
clean,42,vivo,noise,G#_major_4,1.0
clean,42,vivo,noise,G#_minor_4,1.0
clean,42,vivo,noise,G_diminished_4,1.0
clean,42,vivo,noise,G_major_4,1.0
clean,42,vivo,noise,G_minor_4,1.0
clean,42,vivo,rir,A#_diminished_4,1.0
clean,42,vivo,rir,A#_major_4,1.0
clean,42,vivo,rir,A#_minor_4,1.0
clean,42,vivo,rir,A_diminished_4,1.0
clean,42,vivo,rir,A_major_4,1.0
clean,42,vivo,rir,A_minor_4,1.0
clean,42,vivo,rir,B_diminished_4,1.0
clean,42,vivo,rir,B_major_4,1.0
clean,42,vivo,rir,B_minor_4,1.0
clean,42,vivo,rir,C#_diminished_4,1.0
clean,42,vivo,rir,C#_major_4,1.0
clean,42,vivo,rir,C#_minor_4,1.0
clean,42,vivo,rir,C_diminished_4,1.0
clean,42,vivo,rir,C_major_4,1.0
clean,42,vivo,rir,C_minor_4,1.0
clean,42,vivo,rir,D#_diminished_4,1.0
clean,42,vivo,rir,D#_major_4,1.0
clean,42,vivo,rir,D#_minor_4,1.0
