detector,root,thirds,triads,majmin,mirex,underseg,overseg,seg,duration,n_onsets,n_segments,n_truncated,mean_window_frames
spectral-flux,0.9779483095779353,0.9760992837885973,0.9749939932119269,0.9826550188054792,0.9749939932119269,0.706277003440728,0.9891787522282541,0.706277003440728,1138.7093333333335,620.0,620.0,377.0,159.50523992382753
superflux,0.982045822024297,0.9802672387599539,0.9791229396973781,0.983833582497065,0.9791229396973781,0.7154165382910076,0.9955268971922363,0.7154165382910076,1138.7093333333335,628.0,628.0,387.0,158.38413180972145
annotated,0.9950531372072231,0.9934489652054335,0.9923015230613316,0.9940000225504929,0.9923015230613316,0.7154045525932022,0.9985439649731485,0.7154045525932022,1138.7093333333335,620.0,620.0,377.0,159.95920902261273
