root,thirds,triads,majmin,mirex,underseg,overseg,seg,duration,n_onsets,n_segments,n_truncated,mean_window_frames,detector,dataset
0.952842055914942,0.9514876056163851,0.9512596718897751,0.9554454779170468,0.9512596718897751,0.6703175130206273,0.973346238975743,0.6703175130206273,119.22133333333333,98.0,98.0,96.0,112.86440408378316,spectral-flux,normal_sustain
0.9701262412334478,0.965685649977201,0.9628111174210471,0.9813542237595876,0.9628111174210471,0.7132551236388796,0.987264291519593,0.7132551236388796,408.69333333333327,199.0,199.0,96.0,169.38892455812203,spectral-flux,broken_sustain
0.9880826944371847,0.9878711937186464,0.9877784819714057,0.9888364480376639,0.9877784819714057,0.7086267737776578,0.9935501077987142,0.7086267737776578,610.7946666666667,323.0,323.0,185.0,161.99574401766256,spectral-flux,normal_no-sustain
0.9703503305285248,0.9683481497707441,0.9672830904274093,0.9752120499047661,0.9672830904274093,0.6973998034790548,0.9847202127646835,0.6973998034790548,,,,,,spectral-flux,mean
0.017621387938325683,0.018337340310462562,0.018665604179125186,0.01752238414560431,0.018665604179125186,0.02356784351538018,0.010339406723180195,0.02356784351538018,,,,,,spectral-flux,std
0.9729741893322238,0.9717824868115489,0.9717346488689271,0.9821770423378104,0.9717346488689271,0.6874445080754775,0.985741492041433,0.6874445080754775,119.22133333333333,99.0,99.0,98.0,111.98314495044386,superflux,normal_sustain
0.9790772135442851,0.9747707808141135,0.971690794987719,0.980736567230124,0.971690794987719,0.7277219460377912,0.9963586663685734,0.7277219460377912,408.69333333333327,202.0,202.0,99.0,168.42214039125432,superflux,broken_sustain
0.9858028663558078,0.9856011575668803,0.9855380413553748,0.9862291902179415,0.9855380413553748,0.7126426513136225,0.996880364367312,0.7126426513136225,610.7946666666667,327.0,327.0,190.0,160.7245588175926,superflux,normal_no-sustain
0.9792847564107724,0.9773848083975142,0.9763211617373403,0.9830475999286253,0.9763211617373403,0.7092697018089638,0.9929935075924394,0.7092697018089638,,,,,,superflux,mean
0.006416856245462454,0.007270747589907627,0.007982082009772193,0.0028479167317127397,0.007982082009772193,0.020349461748968678,0.006285844363687463,0.020349461748968678,,,,,,superflux,std
0.9943331203672852,0.9941589580041461,0.9941167480547739,0.9940480075681586,0.9941167480547739,0.7046268922011976,0.9977101686570746,0.7046268922011976,119.22133333333333,100.0,100.0,100.0,111.00697861680236,annotated,normal_sustain
0.9929590727256488,0.988682825011216,0.9855399473205266,0.990341914833364,0.9855399473205266,0.7266141481983236,0.9983648084513694,0.7266141481983236,408.69333333333327,200.0,200.0,97.0,169.11110792117972,annotated,broken_sustain
0.9965948526351078,0.996499488624634,0.9964714962504845,0.9964383598184783,0.9964714962504845,0.7100077144560644,0.9988265908604169,0.7100077144560644,610.7946666666667,320.0,320.0,180.0,163.39052600328316,annotated,normal_no-sustain
0.9946290152426807,0.9931137572133321,0.9920427305419284,0.993609427406667,0.9920427305419284,0.7137495849518617,0.998300522656287,0.7137495849518617,,,,,,annotated,mean
0.0018358619829580067,0.0040117815283452546,0.005753333988628525,0.0030717950424258215,0.005753333988628525,0.011461284948742807,0.0005609805091230456,0.011461284948742807,,,,,,annotated,std
