trial,seed,fold,epoch,loss,accuracy,val_loss,val_accuracy,lr
6,43,1,1,1.611405849456787,0.5588762760162354,0.00033015478402376175,1.0,1e-04
6,43,1,2,0.040440626442432404,0.9902371168136597,5.0173321142210625e-06,1.0,1e-04
6,43,1,3,0.02360803447663784,0.9928272366523743,3.177904545736965e-06,1.0,1e-04
6,43,1,4,0.014338298700749874,0.9962143898010254,1.5938843134222225e-08,1.0,1e-04
6,43,1,5,0.00754723371937871,0.9978083372116089,3.8186813711149625e-09,1.0,1e-05
6,43,1,6,0.005690398626029491,0.9982067942619324,3.984710783555556e-09,1.0,1e-05
6,43,1,7,0.007192615885287523,0.9982067942619324,3.4866223241891703e-09,1.0,1e-06
6,43,1,8,0.005446537397801876,0.9986053109169006,2.32441488279278e-09,1.0,1e-06
6,43,1,9,0.00588294118642807,0.9986053109169006,2.1583852483075816e-09,1.0,1e-07
6,43,1,10,0.004577455576509237,0.9988045692443848,2.32441488279278e-09,1.0,1e-07
6,43,1,11,0.0033346256241202354,0.9992030262947083,2.32441488279278e-09,1.0,1e-08
6,43,1,12,0.0035054092295467854,0.9992030262947083,2.1583852483075816e-09,1.0,1e-08
6,43,1,13,0.006083239335566759,0.9978083372116089,1.992355613822383e-09,1.0,1e-09
6,43,1,14,0.00450853630900383,0.9988045692443848,2.32441488279278e-09,1.0,1e-09
6,43,1,15,0.0038166011217981577,0.9990037679672241,2.4904445172779788e-09,1.0,9.9999994e-11
6,43,1,16,0.003915331792086363,0.9990037679672241,1.992355613822383e-09,1.0,9.9999994e-11
6,43,1,17,0.004437175113707781,0.9988045692443848,2.1583852483075816e-09,1.0,9.999999e-12
6,43,1,18,0.0038636703975498676,0.9996015429496765,2.6564741517631774e-09,1.0,9.999999e-12
6,43,1,19,0.005794328171759844,0.9982067942619324,2.1583852483075816e-09,1.0,9.999999e-13
