trial,seed,fold,epoch,loss,accuracy,val_loss,val_accuracy,lr
6,46,4,1,1.531119704246521,0.5868526101112366,0.0033661136403679848,0.9986072182655334,1e-04
6,46,4,2,0.0401037372648716,0.9902390241622925,0.0018839361146092415,1.0,1e-04
6,46,4,3,0.020668579265475273,0.9942231178283691,0.0016556258779019117,1.0,1e-04
6,46,4,4,0.020039765164256096,0.9948207139968872,0.001193935633637011,1.0,1e-04
6,46,4,5,0.006731872446835041,0.9980079531669617,0.00025867391377687454,1.0,1e-04
6,46,4,6,0.008178705349564552,0.9980079531669617,5.751592470915057e-05,1.0,1e-04
6,46,4,7,0.00782468356192112,0.997609555721283,0.0004210252081975341,1.0,1e-04
6,46,4,8,0.005785450339317322,0.9986055493354797,0.002237400272861123,1.0,1e-04
6,46,4,9,0.005769821349531412,0.9986055493354797,0.0016264885198324919,1.0,1e-05
6,46,4,10,0.002500492613762617,0.9994024038314819,0.0017161009600386024,1.0,1e-05
6,46,4,11,0.0018298430368304253,0.9998008012771606,0.001632889499887824,1.0,1e-06
6,46,4,12,0.0020218542777001858,0.9994024038314819,0.0015994224231690168,1.0,1e-06
