trial,seed,fold,epoch,loss,accuracy,val_loss,val_accuracy,lr
6,44,2,1,1.401448369026184,0.6276892423629761,0.000459820032119751,1.0,1e-04
6,44,2,2,0.035584721714258194,0.9906374216079712,9.84718667496054e-07,1.0,1e-04
6,44,2,3,0.019866015762090683,0.9946215152740479,8.822654535833863e-07,1.0,1e-04
6,44,2,4,0.014629349112510681,0.9956175088882446,2.2198133819983923e-07,1.0,1e-04
6,44,2,5,0.00496568763628602,0.9994024038314819,2.4904445172779788e-09,1.0,1e-05
6,44,2,6,0.0044096787460148335,0.9990040063858032,0.0,1.0,1e-05
6,44,2,7,0.0021036432590335608,0.9996016025543213,0.0,1.0,1e-06
6,44,2,8,0.002012829063460231,0.9996016025543213,0.0,1.0,1e-06
6,44,2,9,0.0019055225420743227,0.9996016025543213,0.0,1.0,1e-07
6,44,2,10,0.003726368770003319,0.9988048076629639,0.0,1.0,1e-07
6,44,2,11,0.003011117922142148,0.9994024038314819,0.0,1.0,1e-08
6,44,2,12,0.002014216035604477,0.9998008012771606,0.0,1.0,1e-08
