trial,seed,fold,epoch,loss,accuracy,val_loss,val_accuracy,lr
6,45,3,1,1.4397131204605103,0.6089641451835632,0.00012262517702765763,1.0,1e-04
6,45,3,2,0.03798552602529526,0.9894422292709351,3.82422331313137e-06,1.0,1e-04
6,45,3,3,0.023112041875720024,0.9942231178283691,7.722001100773923e-07,1.0,1e-04
6,45,3,4,0.011259104125201702,0.9966135621070862,4.9974900662164146e-08,1.0,1e-04
6,45,3,5,0.00988837145268917,0.9972111582756042,3.652651958674369e-09,1.0,1e-05
6,45,3,6,0.005160316359251738,0.9984063506126404,3.3205926897039717e-10,1.0,1e-05
6,45,3,7,0.006547138094902039,0.9986055493354797,3.3205926897039717e-10,1.0,1e-06
6,45,3,8,0.0060089328326284885,0.998207151889801,0.0,1.0,1e-06
6,45,3,9,0.005026040133088827,0.998207151889801,0.0,1.0,1e-07
6,45,3,10,0.006631034426391125,0.9978087544441223,0.0,1.0,1e-07
6,45,3,11,0.006045832764357328,0.9978087544441223,0.0,1.0,1e-08
6,45,3,12,0.006283745169639587,0.998207151889801,0.0,1.0,1e-08
6,45,3,13,0.003972708713263273,0.9990040063858032,0.0,1.0,1e-09
6,45,3,14,0.0058158631436526775,0.9986055493354797,0.0,1.0,1e-09
