trial,epoch,loss,accuracy,val_loss,val_accuracy,lr
6,1,1.2967567443847656,0.6481868624687195,0.00023263167531695217,1.0,1e-04
6,2,0.03811255469918251,0.9895397424697876,0.00014633583487011492,1.0,1e-04
6,3,0.017061635851860046,0.9945955276489258,4.025348607683554e-05,1.0,1e-04
6,4,0.0174297783523798,0.9942468404769897,7.547082077508094e-06,1.0,1e-04
6,5,0.007753061130642891,0.9980822801589966,4.6839536480547395e-06,1.0,1e-04
6,6,0.005594991147518158,0.9984309673309326,2.9710843136854237e-06,1.0,1e-05
6,7,0.003984913695603609,0.9989539980888367,1.797770551092981e-06,1.0,1e-05
6,8,0.003184783738106489,0.9991283416748047,1.7498489341960521e-06,1.0,1e-06
6,9,0.0028093026485294104,0.9991283416748047,1.56527778472082e-06,1.0,1e-06
6,10,0.002576968865469098,0.9993026256561279,1.6183465731955948e-06,1.0,1e-07
6,11,0.0037119064945727587,0.9986053109169006,1.540732796456723e-06,1.0,1e-07
6,12,0.0019149096915498376,0.9993026256561279,1.515026383458462e-06,1.0,1e-08
6,13,0.0019025553483515978,0.9993026256561279,1.5946318399073789e-06,1.0,1e-08
6,14,0.0023626878391951323,0.999651312828064,1.6458752725156955e-06,1.0,1e-09
6,15,0.00218922458589077,0.999476969242096,1.8183314978159615e-06,1.0,1e-09
6,16,0.0031680853571742773,0.9993026256561279,1.52962115862465e-06,1.0,9.9999994e-11
6,17,0.002346696564927697,0.999476969242096,1.7405628796041128e-06,1.0,9.9999994e-11
6,18,0.0018629663391038775,0.999825656414032,1.7858318415164831e-06,1.0,9.999999e-12
