trial,seed,fold,epoch,loss,accuracy,val_loss,val_accuracy,lr
6,42,0,1,1.4103598594665527,0.6238294243812561,0.0029030826408416033,1.0,1e-04
6,42,0,2,0.04231880605220795,0.9876469373703003,0.0018308204598724842,1.0,1e-04
6,42,0,3,0.03195787966251373,0.9902371168136597,0.0013551352312788367,1.0,1e-04
6,42,0,4,0.016129055991768837,0.9950188994407654,0.0012161522172391415,1.0,1e-04
6,42,0,5,0.011945330537855625,0.9958158731460571,0.0006775895599275827,1.0,1e-04
6,42,0,6,0.005872370675206184,0.9986053109169006,0.0009427020559087396,1.0,1e-04
6,42,0,7,0.007957199588418007,0.9976090788841248,0.0009260405786335468,1.0,1e-04
6,42,0,8,0.004172815941274166,0.9984060525894165,0.0009256747434847057,1.0,1e-05
6,42,0,9,0.002199387177824974,0.9990037679672241,0.0006325363065116107,1.0,1e-05
6,42,0,10,0.002168476115912199,0.9994022846221924,0.0007182466215454042,1.0,1e-06
6,42,0,11,0.0027492516674101353,0.9994022846221924,0.0007246423629112542,1.0,1e-06
6,42,0,12,0.0020546377636492252,0.9994022846221924,0.0006326771108433604,1.0,1e-07
6,42,0,13,0.0027668424881994724,0.9992030262947083,0.0006908742943778634,1.0,1e-07
6,42,0,14,0.0012201883364468813,0.9998007416725159,0.0006522588664665818,1.0,1e-08
6,42,0,15,0.003065141150727868,0.9992030262947083,0.0007207291782833636,1.0,1e-08
